player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Austin Ekeler,EkelAu00,rushing,LAC,11,77,4,14,1.3,63,5.7,2,5.5,201809160buf
Melvin Gordon,GordMe00,rushing,LAC,9,28,1,16,1.8,12,1.3,1,9,201809160buf
Philip Rivers,RivePh00,rushing,LAC,3,5,0,5,1.7,0,0,0,NA,201809160buf
JJ Jones,JoneJJ00,rushing,LAC,1,0,NA,-2,-2,2,2,0,NA,201809160buf
Detrez Newsome,NewsDe00,rushing,LAC,1,0,NA,0,0,0,0,0,NA,201809160buf
Geno Smith,SmitGe00,rushing,LAC,1,-1,NA,-1,-1,0,0,0,NA,201809160buf
LeSean McCoy,McCoLe01,rushing,BUF,9,39,1,30,3.3,9,1,0,NA,201809160buf
Josh Allen,AlleJo02,rushing,BUF,8,32,3,14,1.8,18,2.3,0,NA,201809160buf
Marcus Murphy,MurpMa03,rushing,BUF,3,6,NA,2,0.7,4,1.3,1,3,201809160buf
Chris Ivory,IvorCh00,rushing,BUF,2,7,1,1,0.5,6,3,0,NA,201809160buf
