player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Sony Michel,MichSo00,rushing,NWE,10,34,1,19,1.9,15,1.5,2,5,201809160jax
Rex Burkhead,BurkRe00,rushing,NWE,6,22,2,16,2.7,6,1,0,NA,201809160jax
James White,WhitJa02,rushing,NWE,4,11,0,6,1.5,5,1.3,1,4,201809160jax
Tom Brady,BradTo00,rushing,NWE,3,10,2,9,3,1,0.3,0,NA,201809160jax
Cordarrelle Patterson,PattCo00,rushing,NWE,1,5,0,2,2,3,3,0,NA,201809160jax
T.J. Yeldon,YeldT.00,rushing,JAX,10,58,2,34,3.4,24,2.4,0,NA,201809160jax
Blake Bortles,BortBl00,rushing,JAX,6,35,3,22,3.7,13,2.2,0,NA,201809160jax
Corey Grant,GranCo00,rushing,JAX,4,13,0,-1,-0.3,14,3.5,0,NA,201809160jax
Brandon Wilds,WildBr01,rushing,JAX,3,4,NA,1,0.3,3,1,0,NA,201809160jax
Dede Westbrook,WestDe00,rushing,JAX,1,-6,0,-6,-6,0,0,0,NA,201809160jax
