player_name,pfr_player_id,adv_stat_category,team,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct,pfr_game_id
Taron Johnson,JohnTa01,defense,BUF,0,5,5,100.0%,24,4.8,4.8,1,126.2,2,10,14,3,0,0,0,0,7,0,0.0%,201810210clt
Tremaine Edmunds,EdmuTr01,defense,BUF,0,4,3,75.0%,32,10.7,8,0,97.9,9.3,23,9,1,0,1,0,1,7,0,0.0%,201810210clt
Jordan Poyer,PoyeJo00,defense,BUF,0,3,3,100.0%,51,17,17,2,158.3,13.3,40,11,1,0,0,0,0,5,2,28.6%,201810210clt
Trent Murphy,MurpTr00,defense,BUF,0,2,2,100.0%,-5,-2.5,-2.5,0,79.2,-2.5,-5,0,0,2,0,0,2,1,0,0.0%,201810210clt
Matt Milano,MilaMa00,defense,BUF,0,3,2,66.7%,37,18.5,12.3,1,148.6,-1,-7,44,0,0,0,0,0,4,2,33.3%,201810210clt
Micah Hyde,HydeMi00,defense,BUF,0,3,2,66.7%,10,5,3.3,1,111.1,3.7,9,1,0,0,0,0,0,5,1,16.7%,201810210clt
Tre'Davious White,WhitTr01,defense,BUF,0,2,1,50.0%,8,8,4,0,60.4,6,8,0,0,0,0,0,0,2,0,0.0%,201810210clt
Rafael Bush,BushRa00,defense,BUF,0,3,1,33.3%,4,4,1.3,0,42.4,6.7,-4,8,1,0,0,0,0,3,0,0.0%,201810210clt
Eddie Yarbrough,YarbEd01,defense,BUF,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,50.0%,201810210clt
Phillip Gaines,GainPh00,defense,BUF,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,2,0,0.0%,201810210clt
Darius Leonard,LeonDa00,defense,IND,0,9,8,88.9%,59,7.4,6.6,0,94,2.9,24,35,0,0,0,0,0,17,0,0.0%,201810210clt
Kenny Moore,MoorKe03,defense,IND,1,8,5,62.5%,52,10.4,6.5,0,41.7,7.1,41,11,0,0,0,0,0,7,0,0.0%,201810210clt
Quincy Wilson,WilsQu01,defense,IND,0,7,4,57.1%,52,13,7.4,0,80.7,10.7,35,17,0,0,0,0,0,1,0,0.0%,201810210clt
Anthony Walker,WalkAn01,defense,IND,0,3,3,100.0%,28,9.3,9.3,0,105.6,3.3,10,18,0,0,0,0,0,5,2,28.6%,201810210clt
Pierre Desir,DesiPi00,defense,IND,0,4,2,50.0%,22,11,5.5,0,66.7,6.8,15,7,0,0,0,0,0,4,1,20.0%,201810210clt
Mike Mitchell,MitcMi99,defense,IND,1,4,2,50.0%,10,5,2.5,0,16.7,9.8,10,0,1,0,0,0,0,7,0,0.0%,201810210clt
Nate Hairston,HairNa00,defense,IND,0,2,1,50.0%,13,13,6.5,0,70.8,10,13,0,0,0,0,0,0,1,1,50.0%,201810210clt
Hassan Ridgeway,RidgHa00,defense,IND,0,1,1,100.0%,-1,-1,-1,0,79.2,-5,-5,4,0,0,0,0,0,2,1,33.3%,201810210clt
Kemoko Turay,TuraKe00,defense,IND,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,2,3,0,0.0%,201810210clt
Matthew Adams,AdamMa00,defense,IND,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,2,0,0.0%,201810210clt
Jabaal Sheard,SheaJa00,defense,IND,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,2,0,0.0%,201810210clt
Al Woods,WoodAl99,defense,IND,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,NA,201810210clt
Corey Moore,MoorCo00,defense,IND,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,50.0%,201810210clt
