player_name,pfr_player_id,adv_stat_category,team,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct,pfr_game_id
Steven Nelson,NelsSt01,defense,KAN,1,12,7,58.3%,81,11.6,6.8,0,44.1,11.8,58,23,0,0,0,0,0,8,0,0.0%,201811040cle
Kendall Fuller,FullKe00,defense,KAN,0,7,4,57.1%,34,8.5,4.9,0,69.9,10.4,15,19,2,0,0,0,0,2,0,0.0%,201811040cle
Ron Parker,ParkRo01,defense,KAN,0,4,4,100.0%,47,11.8,11.8,1,155.2,8,32,15,1,0,0,0,0,5,0,0.0%,201811040cle
Breeland Speaks,SpeaBr00,defense,KAN,0,3,3,100.0%,32,10.7,10.7,0,111.1,-1.7,-5,37,7,0,0,0,0,4,2,33.3%,201811040cle
Anthony Hitchens,HitcAn00,defense,KAN,0,4,3,75.0%,21,7,5.3,0,86.5,4.5,4,17,1,0,0,0,0,9,0,0.0%,201811040cle
Orlando Scandrick,ScanOr99,defense,KAN,0,5,3,60.0%,18,6,3.6,0,67.1,8.8,6,12,0,0,0,0,0,2,0,0.0%,201811040cle
Dorian O'Daniel,ODanDo00,defense,KAN,0,3,2,66.7%,29,14.5,9.7,0,97.9,0.3,-3,32,2,0,0,0,0,3,1,25.0%,201811040cle
Eric Murray,MurrEr00,defense,KAN,0,5,2,40.0%,20,10,4,0,52.1,22.8,16,4,0,0,0,0,0,7,0,0.0%,201811040cle
Jordan Lucas,LucaJo00,defense,KAN,0,1,1,100.0%,19,19,19,1,158.3,2,2,17,2,1,0,1,2,1,0,0.0%,201811040cle
Reggie Ragland,RaglRe00,defense,KAN,0,1,1,100.0%,7,7,7,0,95.8,-3,-3,10,1,0,0,0,0,6,1,14.3%,201811040cle
Chris Jones,JoneCh09,defense,KAN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,1,3,3,1,25.0%,201811040cle
Dee Ford,FordDe00,defense,KAN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,0,0,2,1,0,0.0%,201811040cle
Allen Bailey,BailAl00,defense,KAN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,4,1,20.0%,201811040cle
Xavier Williams,WillXa00,defense,KAN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,50.0%,201811040cle
Jamie Collins,CollJa00,defense,CLE,0,6,6,100.0%,73,12.2,12.2,1,156.9,9.7,58,15,1,0,0,0,0,7,2,22.2%,201811040cle
Briean Boddy-Calhoun,BoddBr01,defense,CLE,0,6,4,66.7%,50,12.5,8.3,0,92.4,11.8,33,17,1,0,1,0,1,1,1,50.0%,201811040cle
Jabrill Peppers,PeppJa00,defense,CLE,0,3,3,100.0%,76,25.3,25.3,1,158.3,19.7,59,17,2,0,1,0,1,6,2,25.0%,201811040cle
T.J. Carrie,CarrTr00,defense,CLE,0,4,3,75.0%,56,18.7,14,0,116.7,10.8,36,20,1,0,0,0,0,4,0,0.0%,201811040cle
Denzel Rice,RiceDe00,defense,CLE,1,3,2,66.7%,31,15.5,10.3,0,61.1,17,22,9,0,0,0,0,0,0,0,NA,201811040cle
Tavierre Thomas,ThomTa01,defense,CLE,0,3,2,66.7%,25,12.5,8.3,0,92.4,3.3,10,15,0,0,0,0,0,2,1,33.3%,201811040cle
Christian Kirksey,KirkCh00,defense,CLE,0,2,2,100.0%,36,18,18,1,158.3,2,4,32,1,0,0,0,0,3,0,0.0%,201811040cle
Genard Avery,AverGe00,defense,CLE,0,3,1,33.3%,14,14,4.7,0,49.3,1.7,-5,19,2,0,0,1,1,3,0,0.0%,201811040cle
Derrick Kindred,KindDe00,defense,CLE,0,2,1,50.0%,19,19,9.5,0,83.3,6.5,13,6,0,0,0,0,0,5,0,0.0%,201811040cle
Denzel Ward,WardDe02,defense,CLE,0,1,1,100.0%,8,8,8,0,100,-1,-1,9,0,0,0,0,0,1,0,0.0%,201811040cle
Myles Garrett,GarrMy00,defense,CLE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,4,2,0,0.0%,201811040cle
Emmanuel Ogbah,OgbaEm00,defense,CLE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,4,0,0.0%,201811040cle
Larry Ogunjobi,OgunLa00,defense,CLE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,2,0,0.0%,201811040cle
Trevon Coley,ColeTr01,defense,CLE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,3,1,25.0%,201811040cle
E.J. Gaines,GainE.00,defense,CLE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,50.0%,201811040cle
Tanner Vallejo,VallTa00,defense,CLE,0,1,0,0.0%,NA,NA,0,NA,39.6,0,NA,NA,1,0,0,0,0,7,3,30.0%,201811040cle
