player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Mark Ingram,IngrMa01,rushing,NOR,13,104,4,44,3.4,60,4.6,1,13,201811110cin
Alvin Kamara,KamaAl00,rushing,NOR,12,56,5,44,3.7,12,1,0,NA,201811110cin
Dwayne Washington,WashDw00,rushing,NOR,11,47,3,27,2.5,20,1.8,0,NA,201811110cin
Taysom Hill,HillTa00,rushing,NOR,4,24,2,18,4.5,6,1.5,0,NA,201811110cin
Teddy Bridgewater,BridTe00,rushing,NOR,3,-3,NA,-3,-1,0,0,0,NA,201811110cin
Drew Brees,BreeDr00,rushing,NOR,2,3,2,3,1.5,0,0,0,NA,201811110cin
Zach Line,LineZa01,rushing,NOR,2,13,2,7,3.5,6,3,0,NA,201811110cin
Joe Mixon,MixoJo00,rushing,CIN,11,61,3,38,3.5,23,2.1,0,NA,201811110cin
Giovani Bernard,BernGi00,rushing,CIN,2,6,0,2,1,4,2,0,NA,201811110cin
Jeff Driskel,DrisJe00,rushing,CIN,2,35,1,34,17,1,0.5,0,NA,201811110cin
Andy Dalton,DaltAn00,rushing,CIN,1,8,0,5,5,3,3,0,NA,201811110cin
