player_name,pfr_player_id,adv_stat_category,team,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct,pfr_game_id
Desmond King,KingDe01,defense,LAC,0,8,7,87.5%,57,8.1,7.1,0,96.4,3.5,24,33,0,0,0,0,0,3,3,50.0%,201811110rai
Jatavis Brown,BrowJa05,defense,LAC,0,7,6,85.7%,62,10.3,8.9,0,103.6,4.7,33,29,2,0,0,0,0,11,0,0.0%,201811110rai
Adrian Phillips,PhilAd00,defense,LAC,0,7,3,42.9%,53,17.7,7.6,0,69.3,13.9,39,14,0,0,0,0,0,9,0,0.0%,201811110rai
Michael Davis,DaviMi03,defense,LAC,0,4,3,75.0%,27,9,6.8,0,92.7,5.3,19,8,0,0,0,0,0,4,1,20.0%,201811110rai
Derwin James,JameDe00,defense,LAC,0,6,2,33.3%,26,13,4.3,0,47.9,4.2,16,10,4,1,0,0,1,9,1,10.0%,201811110rai
Casey Hayward,HaywCa00,defense,LAC,0,3,2,66.7%,23,11.5,7.7,0,89.6,11.3,22,1,0,0,0,0,0,2,0,0.0%,201811110rai
Jahleel Addae,AddaJa00,defense,LAC,0,1,1,100.0%,0,0,0,0,79.2,-3,-3,3,0,0,0,0,0,6,0,0.0%,201811110rai
Kyle Emanuel,EmanKy00,defense,LAC,0,2,1,50.0%,8,8,4,0,60.4,-1,-3,11,1,0,0,0,0,2,1,33.3%,201811110rai
Uchenna Nwosu,NwosUc00,defense,LAC,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,0.5,4,2,0,0.0%,201811110rai
Melvin Ingram,IngrMe00,defense,LAC,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,1,3,4,0,0.0%,201811110rai
Isaac Rochell,RochIs00,defense,LAC,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.5,2,2,0,0.0%,201811110rai
Justin Jones,JoneJu03,defense,LAC,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.5,1,2,0,0.0%,201811110rai
Corey Liuget,LiugCo00,defense,LAC,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,0,0.0%,201811110rai
Darius Philon,PhilDa01,defense,LAC,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.5,1,1,0,0.0%,201811110rai
Rayshawn Jenkins,JenkRa00,defense,LAC,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0.0%,201811110rai
Hayes Pullard,PullHa00,defense,LAC,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,3,0,0.0%,201811110rai
Gareon Conley,ConlGa00,defense,OAK,0,4,4,100.0%,100,25,25,1,158.3,4.5,18,82,0,0,0,0,0,6,1,14.3%,201811110rai
Nick Nelson,NelsNi00,defense,OAK,0,4,3,75.0%,16,5.3,4,0,81.2,1.5,6,10,1,0,0,0,0,2,1,33.3%,201811110rai
Tahir Whitehead,WhitTa00,defense,OAK,0,2,2,100.0%,10,5,5,0,87.5,2,4,6,3,0,0,0,0,7,1,12.5%,201811110rai
Daryl Worley,WorlDa00,defense,OAK,0,4,2,50.0%,42,21,10.5,1,127.1,15,42,0,0,0,0,0,0,3,1,25.0%,201811110rai
Marcus Gilchrist,GilcMa00,defense,OAK,1,3,2,66.7%,27,13.5,9,0,55.6,20.3,19,8,0,0,0,0,0,3,1,25.0%,201811110rai
Marquel Lee,LeexMa01,defense,OAK,0,2,1,50.0%,7,7,3.5,0,58.3,11.5,4,3,1,0,1,0,1,3,0,0.0%,201811110rai
Arden Key,KeyxAr00,defense,OAK,0,1,1,100.0%,1,1,1,0,79.2,-2,-2,3,0,0,1,0,1,4,0,0.0%,201811110rai
Jason Cabinda,CabiJa00,defense,OAK,0,2,1,50.0%,18,18,9,0,81.2,26.5,18,0,0,0,0,0,0,3,1,25.0%,201811110rai
Rashaan Melvin,MelvRa00,defense,OAK,0,2,1,50.0%,12,12,6,0,68.7,4.5,2,10,0,0,0,0,0,2,0,0.0%,201811110rai
Karl Joseph,JoseKa00,defense,OAK,0,2,1,50.0%,18,18,9,0,81.2,25,15,3,1,0,0,0,0,5,1,16.7%,201811110rai
Clinton McDonald,McDoCl99,defense,OAK,0,1,1,100.0%,-5,-5,-5,0,79.2,-5,-5,0,0,0,0,0,0,2,0,0.0%,201811110rai
Maurice Hurst Jr.,HursMa00,defense,OAK,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,2,4,0,0.0%,201811110rai
Frostee Rucker,RuckFr99,defense,OAK,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,2,1,0,0.0%,201811110rai
Nicholas Morrow,MorrNi00,defense,OAK,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,0,1,3,1,25.0%,201811110rai
Johnathan Hankins,HankJo00,defense,OAK,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2,1,33.3%,201811110rai
Erik Harris,HarrEr00,defense,OAK,0,1,0,0.0%,NA,NA,0,NA,39.6,9,NA,NA,4,0,0,0,0,1,0,0.0%,201811110rai
