player_name,pfr_player_id,adv_stat_category,team,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct,pfr_game_id
Marshon Lattimore,LattMa01,defense,NOR,0,8,8,100.0%,75,9.4,9.4,0,105.7,6.1,49,26,0,0,0,0,0,10,0,0.0%,201811290dal
Eli Apple,ApplEl00,defense,NOR,0,8,5,62.5%,80,16,10,0,95.8,16,58,22,0,0,0,0,0,6,3,33.3%,201811290dal
Demario Davis,DaviDe00,defense,NOR,0,3,3,100.0%,33,11,11,1,152.1,0.7,2,31,3,0,0,0,0,11,0,0.0%,201811290dal
A.J. Klein,KleiAJ00,defense,NOR,0,2,2,100.0%,13,6.5,6.5,0,93.7,-0.5,-1,14,5,0,0,1,1,5,1,16.7%,201811290dal
Vonn Bell,BellVo00,defense,NOR,0,2,2,100.0%,17,8.5,8.5,0,102.1,-2,-4,21,5,1,0,0,1,6,0,0.0%,201811290dal
Sheldon Rankins,RankSh00,defense,NOR,0,1,1,100.0%,4,4,4,0,83.3,2,2,2,0,1,0,0,1,4,0,0.0%,201811290dal
P.J. Williams,WillP.00,defense,NOR,0,1,1,100.0%,5,5,5,0,87.5,1,1,4,3,0,1,0,1,3,0,0.0%,201811290dal
Alex Anzalone,AnzaAl00,defense,NOR,0,1,1,100.0%,12,12,12,0,116.7,2,2,10,4,0,0,0,0,5,1,16.7%,201811290dal
Cameron Jordan,JordCa00,defense,NOR,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,2,4,7,1,12.5%,201811290dal
David Onyemata,OnyeDa00,defense,NOR,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,3,7,0,0.0%,201811290dal
Alex Okafor,OkafAl00,defense,NOR,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,2,4,2,33.3%,201811290dal
Taylor Stallworth,StalTa00,defense,NOR,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,0,0.0%,201811290dal
Marcus Williams,WillMa06,defense,NOR,0,1,0,0.0%,NA,NA,0,NA,39.6,5,NA,NA,0,0,0,0,0,3,0,0.0%,201811290dal
Leighton Vander Esch,VandLe00,defense,DAL,0,6,5,83.3%,17,3.4,2.8,0,79.2,-0.2,-6,23,0,0,0,0,0,10,0,0.0%,201811290dal
Anthony Brown,BrowAn02,defense,DAL,0,4,2,50.0%,30,15,7.5,1,114.6,11.8,27,3,1,0,0,1,1,3,1,25.0%,201811290dal
Chidobe Awuzie,AwuzCh00,defense,DAL,0,3,2,66.7%,20,10,6.7,0,85.4,6.3,13,7,0,0,0,0,0,4,0,0.0%,201811290dal
Damien Wilson,WilsDa02,defense,DAL,0,3,2,66.7%,26,13,8.7,0,93.7,5.3,22,4,0,0,0,0,0,3,0,0.0%,201811290dal
Jourdan Lewis,LewiJo01,defense,DAL,1,4,2,50.0%,9,4.5,2.3,0,16.7,2.3,1,8,0,0,0,0,0,1,0,0.0%,201811290dal
Jeff Heath,HeatJe00,defense,DAL,0,2,1,50.0%,5,5,2.5,0,56.2,2,2,3,0,0,0,0,0,4,0,0.0%,201811290dal
Jaylon Smith,SmitJa05,defense,DAL,0,1,1,100.0%,5,5,5,0,87.5,4,4,1,3,0,0,0,0,9,0,0.0%,201811290dal
Byron Jones,JoneBy00,defense,DAL,0,3,1,33.3%,3,3,1,0,42.4,4.3,-5,8,0,0,0,0,0,1,1,50.0%,201811290dal
DeMarcus Lawrence,LawrDe00,defense,DAL,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,2,3,0,0.0%,201811290dal
Maliek Collins,CollMa00,defense,DAL,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,2,1,0,0.0%,201811290dal
Randy Gregory,GregRa00,defense,DAL,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,2,2,1,33.3%,201811290dal
Tyrone Crawford,CrawTy00,defense,DAL,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,4,0,0.0%,201811290dal
Antwaun Woods,WoodAn02,defense,DAL,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2,1,33.3%,201811290dal
