player_name,pfr_player_id,adv_stat_category,team,tgt,rec,receiving_yards,receiving_td,receiving_fd,receiving_yards_before_catch,receiving_yards_before_catch_avg,receiving_yards_after_catch,receiving_yards_after_catch_avg,adot,receiving_broken_tackles,receiving_per_broken_tackle,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,pfr_game_id
Robert Woods,WoodRo02,receiving,LAR,8,5,67,1,4,54,10.8,13,2.6,15.9,0,NA,0,0,0,128.6,201812020det
Brandin Cooks,CookBr00,receiving,LAR,6,4,62,0,3,55,13.8,7,1.8,19.5,0,NA,0,0,1,61.1,201812020det
Todd Gurley,GurlTo01,receiving,LAR,5,3,33,0,2,6,2,27,9,1.8,0,NA,0,0,0,79.6,201812020det
Tyler Higbee,HigbTy00,receiving,LAR,4,2,19,0,1,15,7.5,4,2,3.8,0,NA,0,0,0,63.5,201812020det
Josh Reynolds,ReynJo00,receiving,LAR,5,2,19,0,1,15,7.5,4,2,7.4,0,NA,0,0,0,51.2,201812020det
Gerald Everett,EverGe00,receiving,LAR,3,1,7,0,1,4,4,3,3,12.7,0,NA,0,0,0,42.4,201812020det
Pharoh Cooper,CoopPh00,receiving,LAR,1,0,0,0,NA,0,NA,0,NA,6,0,NA,0,0,0,39.6,201812020det
Bruce Ellington,ElliBr00,receiving,DET,10,7,35,0,3,-3,-0.4,38,5.4,2.3,0,NA,1,10,0,75,201812020det
Levine Toilolo,ToilLe00,receiving,DET,6,4,90,0,3,63,15.8,27,6.8,14.7,1,4,0,0,0,109.7,201812020det
Kenny Golladay,GollKe00,receiving,DET,8,3,50,0,3,39,13,11,3.7,13.9,0,NA,0,0,1,19.8,201812020det
Theo Riddick,RiddTh00,receiving,DET,4,3,26,0,2,14,4.7,12,4,5.5,0,NA,1,25,0,91.7,201812020det
Taylor Decker,DeckTa00,receiving,DET,1,1,11,1,1,1,1,10,10,1,0,NA,0,0,0,152.1,201812020det
T.J. Jones,JoneT.00,receiving,DET,1,1,25,0,1,17,17,8,8,17,0,NA,0,0,0,118.7,201812020det
Luke Willson,WillLu00,receiving,DET,2,1,8,0,NA,6,6,2,2,4.5,0,NA,0,0,0,60.4,201812020det
LeGarrette Blount,BlouLe00,receiving,DET,1,0,0,0,0,0,NA,0,NA,-2,0,NA,0,0,0,39.6,201812020det
