player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Christian McCaffrey,McCaCh01,rushing,CAR,16,63,3,9,0.6,54,3.4,1,16,201812090cle
Cam Newton,NewtCa00,rushing,CAR,5,23,2,12,2.4,11,2.2,0,NA,201812090cle
Alex Armah,ArmaAl00,rushing,CAR,1,0,NA,0,0,0,0,0,NA,201812090cle
Cameron Artis-Payne,ArtiCa00,rushing,CAR,1,5,1,1,1,4,4,0,NA,201812090cle
D.J. Moore,MoorD.00,rushing,CAR,1,0,0,0,0,0,0,0,NA,201812090cle
Jarius Wright,WrigJa02,rushing,CAR,1,5,0,2,2,3,3,0,NA,201812090cle
Nick Chubb,ChubNi00,rushing,CLE,13,66,4,23,1.8,43,3.3,1,13,201812090cle
Baker Mayfield,MayfBa00,rushing,CLE,4,2,0,2,0.5,0,0,0,NA,201812090cle
Duke Johnson,JohnDu00,rushing,CLE,2,-6,NA,-7,-3.5,1,0.5,2,1,201812090cle
Jarvis Landry,LandJa00,rushing,CLE,2,54,2,32,16,22,11,0,NA,201812090cle
