player_name,pfr_player_id,adv_stat_category,team,tgt,rec,receiving_yards,receiving_td,receiving_fd,receiving_yards_before_catch,receiving_yards_before_catch_avg,receiving_yards_after_catch,receiving_yards_after_catch_avg,adot,receiving_broken_tackles,receiving_per_broken_tackle,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,pfr_game_id
Joe Mixon,MixoJo00,receiving,CIN,6,5,27,0,2,-13,-2.6,40,8,-2.2,0,NA,0,0,0,85.4,201812090sdg
Tyler Boyd,BoydTy00,receiving,CIN,6,3,52,0,3,43,14.3,9,3,17.3,0,NA,0,0,0,79.9,201812090sdg
Cody Core,CoreCo00,receiving,CIN,4,3,30,0,1,30,10,0,0,10.8,0,NA,0,0,0,95.8,201812090sdg
C.J. Uzomah,UzomC.00,receiving,CIN,3,3,37,0,1,23,7.7,14,4.7,7.7,0,NA,0,0,0,118.1,201812090sdg
Giovani Bernard,BernGi00,receiving,CIN,2,2,13,0,1,5,2.5,8,4,2.5,0,NA,0,0,0,93.7,201812090sdg
John Ross,RossJo00,receiving,CIN,4,2,11,1,1,1,0.5,10,5,1.5,0,NA,0,0,0,95.8,201812090sdg
Keenan Allen,AlleKe00,receiving,LAC,8,5,78,1,3,61,12.2,17,3.4,11.3,1,5,0,0,0,134.4,201812090sdg
Mike Williams,WillMi07,receiving,LAC,6,3,45,0,2,39,13,6,2,13.7,0,NA,2,33.3,0,75,201812090sdg
Tyrell Williams,WillTy00,receiving,LAC,4,3,14,0,1,7,2.3,7,2.3,2.5,0,NA,0,0,0,79.2,201812090sdg
Austin Ekeler,EkelAu00,receiving,LAC,5,2,28,0,1,-2,-1,30,15,8.2,0,NA,0,0,0,58.7,201812090sdg
Antonio Gates,GateAn00,receiving,LAC,2,2,19,0,1,16,8,3,1.5,8,0,NA,0,0,0,106.2,201812090sdg
Justin Jackson,JackJu01,receiving,LAC,2,2,23,0,1,-8,-4,31,15.5,-4,0,NA,0,0,0,114.6,201812090sdg
Travis Benjamin,BenjTr00,receiving,LAC,1,1,11,0,1,3,3,8,8,3,0,NA,0,0,0,112.5,201812090sdg
Derek Watt,WattDe00,receiving,LAC,1,1,2,0,NA,0,0,2,2,0,0,NA,0,0,0,79.2,201812090sdg
