player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Dalvin Cook,CookDa01,rushing,MIN,13,55,3,34,2.6,21,1.6,1,13,201812100sea
Kirk Cousins,CousKi00,rushing,MIN,3,5,2,5,1.7,0,0,0,NA,201812100sea
Latavius Murray,MurrLa00,rushing,MIN,3,4,NA,1,0.3,3,1,0,NA,201812100sea
Stefon Diggs,DiggSt00,rushing,MIN,1,5,0,5,5,0,0,0,NA,201812100sea
Adam Thielen,ThieAd00,rushing,MIN,1,8,0,8,8,0,0,0,NA,201812100sea
Chris Carson,CarsCh00,rushing,SEA,22,90,6,69,3.1,21,1,1,22,201812100sea
Rashaad Penny,PennRa00,rushing,SEA,8,44,2,36,4.5,8,1,2,4,201812100sea
Russell Wilson,WilsRu00,rushing,SEA,7,61,4,61,8.7,0,0,0,NA,201812100sea
Mike Davis,DaviMi01,rushing,SEA,3,22,1,22,7.3,0,0,0,NA,201812100sea
Tyler Lockett,LockTy00,rushing,SEA,2,-3,0,-3,-1.5,0,0,0,NA,201812100sea
