player_name,pfr_player_id,adv_stat_category,team,tgt,rec,receiving_yards,receiving_td,receiving_fd,receiving_yards_before_catch,receiving_yards_before_catch_avg,receiving_yards_after_catch,receiving_yards_after_catch_avg,adot,receiving_broken_tackles,receiving_per_broken_tackle,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,pfr_game_id
Mike Davis,DaviMi01,receiving,SEA,8,8,63,0,3,-6,-0.8,69,8.6,-0.8,3,2.7,0,0,0,99.5,201812160sfo
Chris Carson,CarsCh00,receiving,SEA,6,6,29,0,1,-6,-1,35,5.8,-1,0,NA,0,0,0,86.8,201812160sfo
Doug Baldwin,BaldDo00,receiving,SEA,6,4,77,2,4,61,15.3,16,4,14.7,1,4,0,0,0,149.3,201812160sfo
Ed Dickson,DickEd00,receiving,SEA,2,2,14,0,1,6,3,8,4,3,0,NA,0,0,0,95.8,201812160sfo
Tyler Lockett,LockTy00,receiving,SEA,2,2,45,0,2,41,20.5,4,2,20.5,0,NA,0,0,0,118.7,201812160sfo
David Moore,MoorDa03,receiving,SEA,3,1,9,0,1,8,8,1,1,20,0,NA,0,0,0,42.4,201812160sfo
Nick Vannett,VannNi00,receiving,SEA,1,0,0,0,NA,0,NA,0,NA,23,0,NA,0,0,0,39.6,201812160sfo
Matt Breida,BreiMa00,receiving,SFO,5,5,46,0,2,-9,-1.8,55,11,-1.8,0,NA,0,0,0,105,201812160sfo
Dante Pettis,PettDa00,receiving,SFO,5,5,83,0,4,51,10.2,32,6.4,10.2,0,NA,0,0,0,118.7,201812160sfo
George Kittle,KittGe00,receiving,SFO,8,3,51,0,3,16,5.3,35,11.7,13,1,3,0,0,0,59.9,201812160sfo
Kendrick Bourne,BourKe00,receiving,SFO,4,2,16,0,1,16,8,0,0,10.3,0,NA,0,0,0,60.4,201812160sfo
Garrett Celek,CeleGa00,receiving,SFO,2,2,61,1,2,33,16.5,28,14,16.5,0,NA,0,0,0,158.3,201812160sfo
Marquise Goodwin,GoodMa00,receiving,SFO,1,1,7,0,NA,-5,-5,12,12,-5,1,1,0,0,0,95.8,201812160sfo
Kyle Juszczyk,JuszKy00,receiving,SFO,1,1,3,0,NA,3,3,0,0,3,0,NA,0,0,0,79.2,201812160sfo
Trent Taylor,TaylTr02,receiving,SFO,2,1,8,0,1,7,7,1,1,9.5,0,NA,1,50,0,60.4,201812160sfo
Jeff Wilson,WilsJe01,receiving,SFO,1,0,0,0,0,0,NA,0,NA,-4,0,NA,1,100,0,39.6,201812160sfo
