player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Darren Sproles,SproDa00,rushing,PHI,13,21,1,10,0.8,11,0.8,0,NA,201901060chi
Wendell Smallwood,SmalWe00,rushing,PHI,8,20,1,3,0.4,17,2.1,2,4,201901060chi
Josh Adams,AdamJo03,rushing,PHI,1,2,NA,1,1,1,1,0,NA,201901060chi
Nick Foles,FoleNi00,rushing,PHI,1,-1,0,-1,-1,0,0,0,NA,201901060chi
Jordan Howard,HowaJo00,rushing,CHI,10,35,2,13,1.3,22,2.2,0,NA,201901060chi
Mitchell Trubisky,TrubMi00,rushing,CHI,3,9,0,9,3,0,0,0,NA,201901060chi
Taylor Gabriel,GabrTa00,rushing,CHI,2,20,1,16,8,4,2,0,NA,201901060chi
Tarik Cohen,CoheTa00,rushing,CHI,1,0,0,0,0,0,0,0,NA,201901060chi
Benny Cunningham,CunnBe01,rushing,CHI,1,2,NA,0,0,2,2,0,NA,201901060chi
Taquan Mizzell,MizzTa00,rushing,CHI,1,-1,NA,-2,-2,1,1,0,NA,201901060chi
