player_name,pfr_player_id,adv_stat_category,team,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct,pfr_game_id
Anthony Walker,WalkAn01,defense,IND,0,7,5,71.4%,66,13.2,9.4,2,140.5,3.3,6,60,2,0,0,0,0,7,1,12.5%,201909080sdg
Pierre Desir,DesiPi00,defense,IND,0,5,4,80.0%,34,8.5,6.8,0,95,5.8,17,17,0,0,0,0,0,6,1,14.3%,201909080sdg
Darius Leonard,LeonDa00,defense,IND,0,4,3,75.0%,31,10.3,7.8,0,96.9,-0.5,-11,42,4,1,0,0,1,8,2,20.0%,201909080sdg
Kenny Moore,MoorKe03,defense,IND,0,4,3,75.0%,32,10.7,8,0,97.9,4,21,11,5,0,0,0,0,4,1,20.0%,201909080sdg
Rock Ya-Sin,Ya-SRo00,defense,IND,0,4,3,75.0%,51,17,12.8,1,156.2,11.5,50,1,0,0,0,0,0,2,0,0.0%,201909080sdg
Malik Hooker,HookMa00,defense,IND,1,4,2,50.0%,48,24,12,0,54.2,18.5,30,18,0,0,0,0,0,5,2,28.6%,201909080sdg
Bobby Okereke,OkerBo00,defense,IND,0,2,2,100.0%,32,16,16,0,118.7,6,12,20,0,0,0,0,0,1,0,0.0%,201909080sdg
Margus Hunt,HuntMa00,defense,IND,0,1,1,100.0%,9,9,9,0,104.2,1,1,8,0,1,0,0,1,2,0,0.0%,201909080sdg
Clayton Geathers,GeatCl00,defense,IND,0,1,1,100.0%,17,17,17,0,118.7,17,17,0,0,0,0,0,0,4,4,50.0%,201909080sdg
Quincy Wilson,WilsQu01,defense,IND,0,1,1,100.0%,13,13,13,0,118.7,13,13,0,2,0,0,0,0,2,0,0.0%,201909080sdg
Khari Willis,WillKh00,defense,IND,0,2,1,50.0%,27,27,13.5,0,95.8,14.5,24,3,0,0,0,0,0,2,1,33.3%,201909080sdg
Justin Houston,HousJu00,defense,IND,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,1,3,4,0,0.0%,201909080sdg
Ben Banogu,BanoBe00,defense,IND,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0.5,2,1,0,0.0%,201909080sdg
Al-Quadin Muhammad,MuhaAl00,defense,IND,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,2,2,0,0.0%,201909080sdg
Kemoko Turay,TuraKe00,defense,IND,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,2,2,0,0.0%,201909080sdg
Denico Autry,AutrDe00,defense,IND,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.5,1,4,0,0.0%,201909080sdg
Jihad Ward,WardJi02,defense,IND,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,NA,201909080sdg
Matthew Adams,AdamMa00,defense,IND,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,2,1,33.3%,201909080sdg
Brandon Facyson,FacyBr00,defense,LAC,0,6,5,83.3%,61,12.2,10.2,1,148.6,11.7,51,10,0,0,0,0,0,9,0,0.0%,201909080sdg
Kyzir White,WhitKy00,defense,LAC,0,4,4,100.0%,21,5.3,5.3,0,88.5,-0.5,-2,23,0,0,0,0,0,9,1,10.0%,201909080sdg
Desmond King,KingDe01,defense,LAC,0,4,4,100.0%,38,9.5,9.5,0,106.2,3,12,26,0,0,0,0,0,3,0,0.0%,201909080sdg
Thomas Davis,DaviTh20,defense,LAC,0,6,4,66.7%,55,13.8,9.2,2,135.4,5.7,27,28,1,0,0,0,0,14,0,0.0%,201909080sdg
Casey Hayward,HaywCa00,defense,LAC,0,6,3,50.0%,34,11.3,5.7,0,67.4,11.8,31,3,0,0,0,0,0,3,0,0.0%,201909080sdg
Adrian Phillips,PhilAd00,defense,LAC,0,2,2,100.0%,10,5,5,0,87.5,3.5,7,3,0,0,0,0,0,6,2,25.0%,201909080sdg
Jaylen Watkins,WatkJa01,defense,LAC,0,1,1,100.0%,1,1,1,0,79.2,-4,-4,5,0,0,0,0,0,0,0,NA,201909080sdg
Justin Jones,JoneJu03,defense,LAC,0,1,1,100.0%,-7,-7,-7,0,79.2,-7,-7,0,0,0,0,0,0,3,0,0.0%,201909080sdg
Melvin Ingram,IngrMe00,defense,LAC,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,3,2,0,0.0%,201909080sdg
Joey Bosa,BosaJo00,defense,LAC,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,2,8,0,0.0%,201909080sdg
Uchenna Nwosu,NwosUc00,defense,LAC,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0.0%,201909080sdg
Rayshawn Jenkins,JenkRa00,defense,LAC,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,2,1,33.3%,201909080sdg
