player_name,pfr_player_id,adv_stat_category,team,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct,pfr_game_id
Shaq Thompson,ThomSh01,defense,CAR,0,11,7,63.6%,37,5.3,3.4,0,69.1,3.4,20,17,8,0,0,1,1,11,1,8.3%,201909220crd
Ross Cockrell,CockRo00,defense,CAR,0,7,6,85.7%,26,4.3,3.7,0,82.1,1.4,5,21,0,0,0,0,0,6,1,14.3%,201909220crd
Luke Kuechly,KuecLu00,defense,CAR,0,7,6,85.7%,54,9,7.7,0,98.8,9.6,22,32,2,0,0,0,0,10,2,16.7%,201909220crd
Donte Jackson,JackDo02,defense,CAR,2,8,5,62.5%,21,4.2,2.6,1,66.7,7.6,-4,25,0,0,0,0,0,5,3,37.5%,201909220crd
Eric Reid,ReidEr00,defense,CAR,0,4,2,50.0%,-1,-0.5,-0.3,1,95.8,2.5,-7,6,3,0,0,1,1,6,0,0.0%,201909220crd
Tre Boston,BostTr00,defense,CAR,0,3,2,66.7%,27,13.5,9,0,95.1,14.3,18,9,0,0,0,0,0,5,1,16.7%,201909220crd
James Bradberry,BradJa00,defense,CAR,0,3,2,66.7%,9,4.5,3,0,70.1,3,6,3,1,0,0,0,0,2,1,33.3%,201909220crd
Brian Burns,BurnBr00,defense,CAR,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,1,4,4,0,0.0%,201909220crd
Mario Addison,AddiMa00,defense,CAR,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,3,3,0,0.0%,201909220crd
Christian Miller,MillCh04,defense,CAR,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,2,2,2,0,0.0%,201909220crd
Gerald McCoy,McCoGe99,defense,CAR,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,2,2,0,0.0%,201909220crd
Marquis Haynes,HaynMa01,defense,CAR,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,2,1,33.3%,201909220crd
Kyle Love,LoveKy00,defense,CAR,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,NA,201909220crd
D.J. Swearinger,SweaDJ00,defense,ARI,0,4,4,100.0%,45,11.3,11.3,2,153.1,8.3,33,12,2,0,0,0,0,5,0,0.0%,201909220crd
Jordan Hicks,HickJo00,defense,ARI,0,4,4,100.0%,49,12.3,12.3,0,117.7,8,32,17,6,0,0,0,0,11,0,0.0%,201909220crd
Byron Murphy,MurpBy00,defense,ARI,0,4,3,75.0%,31,10.3,7.8,1,136.5,7.3,30,1,0,0,0,0,0,2,1,33.3%,201909220crd
Chandler Jones,JoneCh03,defense,ARI,0,2,2,100.0%,8,4,4,0,83.3,-1.5,-3,11,0,2,0,2,4,4,0,0.0%,201909220crd
Haason Reddick,ReddHa00,defense,ARI,0,2,2,100.0%,3,1.5,1.5,0,79.2,4,2,1,8,1,0,0,1,10,2,16.7%,201909220crd
Tramaine Brock,BrocTr00,defense,ARI,0,3,2,66.7%,22,11,7.3,0,88.2,8.3,22,0,1,0,0,0,0,4,1,20.0%,201909220crd
Budda Baker,BakeBu00,defense,ARI,0,2,1,50.0%,33,33,16.5,0,95.8,17.5,18,15,1,0,0,0,0,5,0,0.0%,201909220crd
Terrell Suggs,SuggTe99,defense,ARI,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,0,0,1,1,0,0.0%,201909220crd
