player_name,pfr_player_id,adv_stat_category,team,tgt,rec,receiving_yards,receiving_td,receiving_fd,receiving_yards_before_catch,receiving_yards_before_catch_avg,receiving_yards_after_catch,receiving_yards_after_catch_avg,adot,receiving_broken_tackles,receiving_per_broken_tackle,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,pfr_game_id
Calvin Ridley,RidlCa00,receiving,ATL,8,8,143,1,6,124,15.5,19,2.4,15.5,0,NA,0,0,0,158.3,201911170car
Julio Jones,JoneJu02,receiving,ATL,8,6,91,0,4,87,14.5,4,0.7,15.1,0,NA,0,0,0,112,201911170car
Russell Gage,GageRu00,receiving,ATL,4,2,32,0,2,13,6.5,19,9.5,5.5,0,NA,0,0,0,77.1,201911170car
Jaeden Graham,GrahJa01,receiving,ATL,2,2,23,0,2,11,5.5,12,6,5.5,1,2,0,0,0,114.6,201911170car
Justin Hardy,HardJu00,receiving,ATL,4,2,14,0,1,6,3,8,4,3.5,0,NA,1,25,0,58.3,201911170car
Christian Blake,BlakCh00,receiving,ATL,1,1,3,0,NA,-4,-4,7,7,-4,0,NA,0,0,0,79.2,201911170car
Brian Hill,HillBr02,receiving,ATL,3,1,8,0,0,0,0,8,8,0.3,0,NA,1,33.3,0,42.4,201911170car
Qadree Ollison,OlliQa00,receiving,ATL,1,0,0,0,0,0,NA,0,NA,-1,0,NA,1,100,0,39.6,201911170car
Christian McCaffrey,McCaCh01,receiving,CAR,15,11,121,0,5,29,2.6,92,8.4,3.1,2,5.5,1,6.7,1,69,201911170car
D.J. Moore,MoorD.00,receiving,CAR,15,8,95,0,4,58,7.3,37,4.6,10.4,1,8,0,0,3,33.3,201911170car
Greg Olsen,OlseGr00,receiving,CAR,5,5,57,0,3,42,8.4,15,3,8.4,0,NA,0,0,0,114.2,201911170car
Curtis Samuel,SamuCu00,receiving,CAR,6,4,25,0,2,24,6,1,0.3,9.5,1,4,0,0,0,75,201911170car
Reggie Bonnafon,BonnRe00,receiving,CAR,3,2,8,0,NA,-1,-0.5,9,4.5,8,0,NA,1,33.3,0,70.1,201911170car
Jarius Wright,WrigJa02,receiving,CAR,2,1,19,0,1,18,18,1,1,10.5,0,NA,0,0,0,83.3,201911170car
Ian Thomas,ThomIa00,receiving,CAR,1,0,0,0,NA,0,NA,0,NA,4,0,NA,1,100,0,39.6,201911170car
