player_name,pfr_player_id,adv_stat_category,team,tgt,rec,receiving_yards,receiving_td,receiving_fd,receiving_yards_before_catch,receiving_yards_before_catch_avg,receiving_yards_after_catch,receiving_yards_after_catch_avg,adot,receiving_broken_tackles,receiving_per_broken_tackle,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,pfr_game_id
Albert Wilson,WilsAl02,receiving,MIA,7,6,33,0,2,22,3.7,11,1.8,4,1,6,1,14.3,1,46.7,201911240cle
DeVante Parker,ParkDe01,receiving,MIA,11,6,91,0,6,56,9.3,35,5.8,11.3,1,6,0,0,0,82,201911240cle
Allen Hurns,HurnAl01,receiving,MIA,7,4,42,1,2,26,6.5,16,4,6.1,0,NA,0,0,0,114.3,201911240cle
Mike Gesicki,GesiMi00,receiving,MIA,7,3,28,1,2,17,5.7,11,3.7,11,0,NA,0,0,0,94,201911240cle
Kalen Ballage,BallKa00,receiving,MIA,1,1,13,0,1,7,7,6,6,7,0,NA,0,0,0,118.7,201911240cle
Myles Gaskin,GaskMy00,receiving,MIA,1,1,7,0,1,6,6,1,1,6,0,NA,0,0,0,95.8,201911240cle
Durham Smythe,SmytDu00,receiving,MIA,2,0,0,0,NA,0,NA,0,NA,12.5,0,NA,0,0,1,0,201911240cle
Jakeem Grant,GranJa00,receiving,MIA,1,0,0,0,NA,0,NA,0,NA,23,0,NA,0,0,0,39.6,201911240cle
Patrick Laird,LairPa00,receiving,MIA,1,0,0,0,0,0,NA,0,NA,3,0,NA,0,0,0,39.6,201911240cle
Jarvis Landry,LandJa00,receiving,CLE,13,10,148,2,9,120,12,28,2.8,12.2,0,NA,0,0,0,153.2,201911240cle
Odell Beckham Jr.,BeckOd00,receiving,CLE,8,6,84,1,3,64,10.7,20,3.3,11.4,0,NA,0,0,1,108.3,201911240cle
Nick Chubb,ChubNi00,receiving,CLE,3,3,58,0,2,4,1.3,54,18,1.3,1,3,0,0,0,118.7,201911240cle
Kareem Hunt,HuntKa00,receiving,CLE,3,2,9,0,0,-5,-2.5,14,7,-1.7,0,NA,1,33.3,0,70.1,201911240cle
Demetrius Harris,HarrDe03,receiving,CLE,2,2,20,0,1,13,6.5,7,3.5,6.5,0,NA,0,0,0,108.3,201911240cle
Stephen Carlson,CarlSt00,receiving,CLE,1,1,8,0,NA,1,1,7,7,1,0,NA,0,0,0,100,201911240cle
KhaDarel Hodge,HodgKh00,receiving,CLE,1,0,0,0,NA,0,NA,0,NA,18,0,NA,0,0,0,39.6,201911240cle
Rashard Higgins,HiggRa00,receiving,CLE,1,0,0,0,NA,0,NA,0,NA,8,0,NA,0,0,0,39.6,201911240cle
Ricky Seals-Jones,SealRi00,receiving,CLE,1,0,0,0,NA,0,NA,0,NA,11,0,NA,0,0,0,39.6,201911240cle
