player_name,pfr_player_id,adv_stat_category,team,tgt,rec,receiving_yards,receiving_td,receiving_fd,receiving_yards_before_catch,receiving_yards_before_catch_avg,receiving_yards_after_catch,receiving_yards_after_catch_avg,adot,receiving_broken_tackles,receiving_per_broken_tackle,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,pfr_game_id
Cole Beasley,BeasCo00,receiving,BUF,7,6,110,1,4,61,10.2,49,8.2,9.3,1,6,0,0,0,158.3,201911280dal
John Brown,BrowJo02,receiving,BUF,4,3,26,0,1,18,6,8,2.7,13.8,0,NA,0,0,0,91.7,201911280dal
Dawson Knox,KnoxDa00,receiving,BUF,4,3,17,0,NA,9,3,8,2.7,8,0,NA,0,0,0,82.3,201911280dal
Isaiah McKenzie,McKeIs00,receiving,BUF,3,3,34,0,2,7,2.3,27,9,2.3,0,NA,0,0,0,113.9,201911280dal
Devin Singletary,SingDe00,receiving,BUF,4,3,38,1,2,19,6.3,19,6.3,6.8,0,NA,0,0,0,143.7,201911280dal
Robert Foster,FostRo01,receiving,BUF,2,1,20,0,1,11,11,9,9,18.5,0,NA,0,0,0,85.4,201911280dal
Frank Gore,GoreFr00,receiving,BUF,1,1,14,0,1,4,4,10,10,4,0,NA,0,0,0,118.7,201911280dal
Amari Cooper,CoopAm00,receiving,DAL,11,8,85,0,6,58,7.3,27,3.4,7,0,NA,0,0,0,94.9,201911280dal
Ezekiel Elliott,ElliEz00,receiving,DAL,10,7,66,0,4,6,0.9,60,8.6,0.4,2,3.5,1,10,0,87.9,201911280dal
Jason Witten,WittJa00,receiving,DAL,8,6,42,1,3,29,4.8,13,2.2,6.8,0,NA,1,12.5,0,126,201911280dal
Randall Cobb,CobbRa00,receiving,DAL,3,3,53,0,3,42,14,11,3.7,14,1,3,0,0,0,118.7,201911280dal
Michael Gallup,GallMi00,receiving,DAL,7,3,63,0,2,57,19,6,2,10.9,0,NA,0,0,0,75.3,201911280dal
Tavon Austin,AustTa00,receiving,DAL,5,2,22,0,2,17,8.5,5,2.5,11.8,0,NA,0,0,0,53.7,201911280dal
Blake Jarwin,JarwBl00,receiving,DAL,3,2,9,0,1,9,4.5,0,0,4,0,NA,0,0,0,70.1,201911280dal
Ventell Bryant,BryaVe00,receiving,DAL,1,1,15,1,1,15,15,0,0,15,0,NA,0,0,0,158.3,201911280dal
Tony Pollard,PollTo00,receiving,DAL,1,0,0,0,NA,0,NA,0,NA,-8,0,NA,0,0,1,0,201911280dal
