player_name,pfr_player_id,adv_stat_category,team,tgt,rec,receiving_yards,receiving_td,receiving_fd,receiving_yards_before_catch,receiving_yards_before_catch_avg,receiving_yards_after_catch,receiving_yards_after_catch_avg,adot,receiving_broken_tackles,receiving_per_broken_tackle,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,pfr_game_id
Robby Anderson,AndeRo04,receiving,NYJ,10,7,101,0,6,97,13.9,4,0.6,17.6,0,NA,2,20,0,102.5,201912010cin
Ryan Griffin,GrifRy00,receiving,NYJ,7,5,30,0,NA,21,4.2,9,1.8,6,0,NA,1,14.3,0,79.5,201912010cin
Le'Veon Bell,BellLe00,receiving,NYJ,5,4,35,0,3,9,2.3,26,6.5,2.8,0,NA,1,20,0,95.8,201912010cin
Demaryius Thomas,ThomDe03,receiving,NYJ,5,3,23,0,1,14,4.7,9,3,8.8,1,3,0,0,0,71.2,201912010cin
Jamison Crowder,CrowJa00,receiving,NYJ,9,2,8,0,NA,-1,-0.5,9,4.5,1.9,0,NA,2,22.2,0,39.6,201912010cin
Bilal Powell,PoweBi00,receiving,NYJ,2,2,4,0,0,-10,-5,14,7,-5,0,NA,0,0,0,79.2,201912010cin
Vyncint Smith,SmitVy00,receiving,NYJ,3,2,23,0,2,12,6,11,5.5,7.3,0,NA,0,0,0,89.6,201912010cin
Braxton Berrios,BerrBr00,receiving,NYJ,2,1,5,0,NA,6,6,-1,-1,10,0,NA,1,50,0,56.2,201912010cin
Daniel Brown,BrowDa04,receiving,NYJ,1,1,9,0,1,0,0,9,9,0,0,NA,0,0,0,104.2,201912010cin
Ty Montgomery,MontTy01,receiving,NYJ,1,1,1,0,NA,1,1,0,0,1,0,NA,0,0,0,79.2,201912010cin
Tyler Boyd,BoydTy00,receiving,CIN,10,5,59,1,4,33,6.6,26,5.2,9.2,0,NA,0,0,0,101.7,201912010cin
C.J. Uzomah,UzomC.00,receiving,CIN,6,5,51,0,3,25,5,26,5.2,5,0,NA,1,16.7,0,102.1,201912010cin
Joe Mixon,MixoJo00,receiving,CIN,4,4,26,0,0,-16,-4,42,10.5,-4,1,4,0,0,0,93.7,201912010cin
Auden Tate,TateAu00,receiving,CIN,7,4,66,0,4,53,13.3,13,3.3,13.3,1,4,0,0,0,89,201912010cin
Alex Erickson,EricAl01,receiving,CIN,2,2,21,0,NA,8,4,13,6.5,4,1,2,0,0,0,110.4,201912010cin
Tyler Eifert,EifeTy00,receiving,CIN,2,1,12,0,1,10,10,2,2,7.5,0,NA,1,50,0,68.7,201912010cin
Giovani Bernard,BernGi00,receiving,CIN,2,1,8,0,NA,-1,-1,9,9,-0.5,0,NA,0,0,0,60.4,201912010cin
Stanley Morgan Jr.,MorgSt02,receiving,CIN,2,0,0,0,NA,0,NA,0,NA,7.5,0,NA,0,0,0,39.6,201912010cin
Damion Willis,WillDa11,receiving,CIN,1,0,0,0,NA,0,NA,0,NA,11,0,NA,0,0,0,39.6,201912010cin
