player_name,pfr_player_id,adv_stat_category,team,tgt,rec,receiving_yards,receiving_td,receiving_fd,receiving_yards_before_catch,receiving_yards_before_catch_avg,receiving_yards_after_catch,receiving_yards_after_catch_avg,adot,receiving_broken_tackles,receiving_per_broken_tackle,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,pfr_game_id
Diontae Johnson,JohnDi01,receiving,PIT,9,8,81,1,4,58,7.3,23,2.9,6.7,1,8,1,11.1,0,141.2,201912220nyj
James Washington,WashJa00,receiving,PIT,8,5,41,0,2,37,7.4,4,0.8,16.1,0,NA,0,0,0,75.5,201912220nyj
Jaylen Samuels,SamuJa00,receiving,PIT,6,4,32,0,1,-8,-2,40,10,0.8,0,NA,1,16.7,1,40.3,201912220nyj
Vance McDonald,McDoVa00,receiving,PIT,6,3,9,0,NA,4,1.3,5,1.7,4.5,0,NA,1,16.7,1,16.7,201912220nyj
Deon Cain,CainDe00,receiving,PIT,2,2,10,0,1,6,3,4,2,3,0,NA,0,0,0,87.5,201912220nyj
JuJu Smith-Schuster,SmitJu00,receiving,PIT,4,2,22,0,2,20,10,2,1,12,0,NA,2,50,0,66.7,201912220nyj
Nick Vannett,VannNi00,receiving,PIT,1,1,18,0,1,5,5,13,13,5,1,1,0,0,0,118.7,201912220nyj
Le'Veon Bell,BellLe00,receiving,NYJ,4,4,21,0,0,-4,-1,25,6.3,-1,1,4,0,0,0,88.5,201912220nyj
Jamison Crowder,CrowJa00,receiving,NYJ,8,4,60,0,3,33,8.3,27,6.8,12.5,0,NA,1,12.5,0,75,201912220nyj
Vyncint Smith,SmitVy00,receiving,NYJ,4,3,32,0,2,21,7,11,3.7,15.3,0,NA,0,0,0,97.9,201912220nyj
Robby Anderson,AndeRo04,receiving,NYJ,4,2,32,1,1,28,14,4,2,10.5,0,NA,1,25,0,116.7,201912220nyj
Ty Montgomery,MontTy01,receiving,NYJ,1,1,1,0,0,1,1,0,0,1,0,NA,0,0,0,79.2,201912220nyj
Bilal Powell,PoweBi00,receiving,NYJ,2,1,5,0,NA,1,1,4,4,3,0,NA,1,50,0,56.2,201912220nyj
Trevon Wesco,WescTr00,receiving,NYJ,1,1,32,0,1,-1,-1,33,33,-1,0,NA,0,0,0,118.7,201912220nyj
Daniel Brown,BrowDa04,receiving,NYJ,1,0,0,0,NA,0,NA,0,NA,0,0,NA,0,0,0,39.6,201912220nyj
