player_name,pfr_player_id,adv_stat_category,team,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct,pfr_game_id
Deandre Baker,BakeDe00,defense,NYG,0,10,9,90.0%,98,10.9,9.8,0,107.5,7.8,75,23,0,0,0,0,0,10,0,0.0%,201912220was
Corey Ballentine,BallCo00,defense,NYG,0,10,6,60.0%,68,11.3,6.8,2,120,11.3,47,21,0,0,0,0,0,5,0,0.0%,201912220was
Sam Beal,BealSa00,defense,NYG,0,4,4,100.0%,44,11,11,0,112.5,7.5,30,14,0,0,0,0,0,6,0,0.0%,201912220was
Antoine Bethea,BethAn20,defense,NYG,0,4,3,75.0%,24,8,6,1,129.2,9.8,19,5,0,0,0,0,0,6,2,25.0%,201912220was
Julian Love,LoveJu00,defense,NYG,0,2,2,100.0%,19,9.5,9.5,0,106.2,4.5,9,10,2,0,0,0,0,7,1,12.5%,201912220was
David Mayo,MayoDa00,defense,NYG,0,4,2,50.0%,31,15.5,7.8,0,76,1.8,-4,35,7,0,0,0,0,10,0,0.0%,201912220was
Deone Bucannon,BucaDe00,defense,NYG,0,1,1,100.0%,22,22,22,0,118.7,22,22,0,2,0,1,0,1,7,1,12.5%,201912220was
B.J. Hill,HillB.00,defense,NYG,0,1,1,100.0%,-6,-6,-6,0,79.2,-7,-7,1,0,0,0,1,1,2,0,0.0%,201912220was
Michael Thomas,ThomMi02,defense,NYG,0,1,1,100.0%,-1,-1,-1,0,79.2,-2,-2,1,2,0,0,0,0,1,0,0.0%,201912220was
Antonio Hamilton,HamiAn01,defense,NYG,0,1,1,100.0%,13,13,13,0,118.7,13,13,0,0,0,0,0,0,1,0,0.0%,201912220was
Markus Golden,GoldMa00,defense,NYG,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,2,1,4,5,0,0.0%,201912220was
Leonard Williams,WillLe02,defense,NYG,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,3,3,0,0.0%,201912220was
Lorenzo Carter,CartLo01,defense,NYG,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,2,1,3,3,0,0.0%,201912220was
Oshane Ximines,XimiOs00,defense,NYG,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,0,1,0,0,NA,201912220was
Kareem Martin,MartKa00,defense,NYG,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,2,0,0.0%,201912220was
Landon Collins,CollLa00,defense,WAS,0,8,5,62.5%,99,19.8,12.4,3,145.3,13.1,85,14,1,0,0,0,0,6,0,0.0%,201912220was
Jonathan Bostic,BostJo00,defense,WAS,0,4,4,100.0%,32,8,8,0,100,3,12,20,2,0,1,0,1,5,1,16.7%,201912220was
Aaron Colvin,ColvAa00,defense,WAS,0,5,4,80.0%,61,15.3,12.2,1,157.1,12,54,7,0,0,0,0,0,4,0,0.0%,201912220was
Kayvon Webster,WebsKa00,defense,WAS,0,6,4,66.7%,93,23.3,15.5,0,109.7,14.5,34,59,0,0,0,0,0,4,1,20.0%,201912220was
Coty Sensabaugh,SensCo00,defense,WAS,0,6,3,50.0%,34,11.3,5.7,1,106.9,9.5,26,8,2,0,0,0,0,5,0,0.0%,201912220was
Cole Holcomb,HolcCo00,defense,WAS,0,4,3,75.0%,22,7.3,5.5,0,87.5,2.8,7,15,0,0,0,0,0,4,0,0.0%,201912220was
Montez Sweat,SweaMo00,defense,WAS,0,2,2,100.0%,2,1,1,0,79.2,-2.5,-5,7,6,0,1,0,1,2,0,0.0%,201912220was
Shaun Dion Hamilton,DionSh00,defense,WAS,0,2,2,100.0%,15,7.5,7.5,0,97.9,1,2,13,0,0,0,0,0,4,0,0.0%,201912220was
Montae Nicholson,NichMo00,defense,WAS,0,3,1,33.3%,9,9,3,1,81.9,13.7,9,0,0,0,0,0,0,5,2,28.6%,201912220was
Danny Johnson,JohnDa09,defense,WAS,0,1,1,100.0%,8,8,8,0,100,7,7,1,0,0,0,0,0,1,1,50.0%,201912220was
Tim Settle,SettTi00,defense,WAS,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,2,2,0,0.0%,201912220was
Jonathan Allen,AlleJo01,defense,WAS,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,2,0,0.0%,201912220was
Matthew Ioannidis,IoanMa01,defense,WAS,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,5,0,0.0%,201912220was
Ryan Anderson,AndeRy00,defense,WAS,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,1,0,1,1,0,0.0%,201912220was
Nate Orchard,OrchNa00,defense,WAS,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,2,0,0.0%,201912220was
Daron Payne,PaynDa00,defense,WAS,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,4,1,20.0%,201912220was
Chris Odom,OdomCh00,defense,WAS,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,201912220was
