player_name,pfr_player_id,adv_stat_category,team,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct,pfr_game_id
Rasul Douglas,DougRa00,defense,PHI,0,12,7,58.3%,82,11.7,6.8,1,106.9,19.2,81,1,1,0,1,0,1,4,0,0.0%,201912290nyg
Nigel Bradham,BradNi00,defense,PHI,0,7,6,85.7%,88,14.7,12.6,0,118.7,11,73,15,6,0,1,0,1,10,0,0.0%,201912290nyg
Cre'von LeBlanc,LeBlCr01,defense,PHI,0,9,6,66.7%,44,7.3,4.9,0,78,3,13,31,3,0,0,0,0,8,0,0.0%,201912290nyg
Marcus Epps,EppsMa00,defense,PHI,0,5,3,60.0%,55,18.3,11,0,97.9,21.4,52,3,0,0,0,0,0,4,0,0.0%,201912290nyg
Rodney McLeod,McLeRo00,defense,PHI,0,5,3,60.0%,46,15.3,9.2,0,90.4,8.4,31,15,2,0,0,0,0,5,0,0.0%,201912290nyg
Avonte Maddox,MaddAv00,defense,PHI,0,4,3,75.0%,33,11,8.3,0,99,13.3,24,9,0,0,0,0,0,3,0,0.0%,201912290nyg
Malcolm Jenkins,JenkMa99,defense,PHI,0,4,2,50.0%,16,8,4,0,60.4,8.5,16,0,7,1,1,0,2,8,0,0.0%,201912290nyg
Sidney Jones,JoneSi00,defense,PHI,1,6,2,33.3%,3,1.5,0.5,0,2.8,12.2,-1,4,0,0,0,0,0,3,0,0.0%,201912290nyg
Nathan Gerry,GerrNa00,defense,PHI,0,3,2,66.7%,11,5.5,3.7,0,72.9,3.7,11,0,1,0,0,0,0,5,0,0.0%,201912290nyg
Vinny Curry,CurrVi00,defense,PHI,0,1,1,100.0%,7,7,7,0,95.8,5,5,2,0,2,1,0,3,1,0,0.0%,201912290nyg
Derek Barnett,BarnDe01,defense,PHI,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,2,4,2,0,0.0%,201912290nyg
Brandon Graham,GrahBr99,defense,PHI,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,2,3,0,0.0%,201912290nyg
Fletcher Cox,CoxxFl00,defense,PHI,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,NA,201912290nyg
Timmy Jernigan,JernTi00,defense,PHI,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,3,0,0.0%,201912290nyg
Genard Avery,AverGe00,defense,PHI,0,1,0,0.0%,NA,NA,0,NA,39.6,8,NA,NA,0,0,0,0,0,0,0,NA,201912290nyg
Julian Love,LoveJu00,defense,NYG,0,9,7,77.8%,81,11.6,9,0,104.2,3.8,26,55,1,0,0,0,0,9,0,0.0%,201912290nyg
Michael Thomas,ThomMi02,defense,NYG,0,9,6,66.7%,68,11.3,7.6,0,89.1,5.1,42,26,1,0,0,0,0,12,0,0.0%,201912290nyg
Antonio Hamilton,HamiAn01,defense,NYG,0,9,3,33.3%,62,20.7,6.9,0,58.6,17.2,57,5,2,1,0,0,1,5,0,0.0%,201912290nyg
Antoine Bethea,BethAn20,defense,NYG,0,6,3,50.0%,32,10.7,5.3,0,66,13.2,27,5,0,0,0,0,0,6,1,14.3%,201912290nyg
Lorenzo Carter,CartLo01,defense,NYG,0,2,2,100.0%,32,16,16,0,118.7,-5,-10,42,3,1,1,0,2,2,0,0.0%,201912290nyg
Alec Ogletree,OgleAl00,defense,NYG,0,5,2,40.0%,18,9,3.6,0,50.4,8.8,14,4,4,0,0,0,0,5,0,0.0%,201912290nyg
David Mayo,MayoDa00,defense,NYG,0,3,1,33.3%,7,7,2.3,0,42.4,0.7,4,3,7,0,0,0.5,1,6,1,14.3%,201912290nyg
Deone Bucannon,BucaDe00,defense,NYG,0,2,1,50.0%,-6,-6,-3,0,56.2,-3.5,-7,1,2,0,0,0,0,2,0,0.0%,201912290nyg
Deandre Baker,BakeDe00,defense,NYG,0,2,1,50.0%,24,24,12,1,133.3,14,24,0,0,0,0,0,0,1,0,0.0%,201912290nyg
Markus Golden,GoldMa00,defense,NYG,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,2,7,0,0.0%,201912290nyg
Oshane Ximines,XimiOs00,defense,NYG,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,0,0.0%,201912290nyg
Dexter Lawrence,LawrDe03,defense,NYG,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,0,0.0%,201912290nyg
B.J. Hill,HillB.00,defense,NYG,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,2,0,0.0%,201912290nyg
Leonard Williams,WillLe02,defense,NYG,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.5,1,5,1,16.7%,201912290nyg
