player_name,pfr_player_id,adv_stat_category,team,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct,pfr_game_id
Lonnie Johnson Jr.,JohnLo01,defense,HOU,0,8,7,87.5%,68,9.7,8.5,1,141.7,2.8,15,53,0,0,0,0,0,3,1,25.0%,202001120kan
Bradley Roby,RobyBr00,defense,HOU,0,6,5,83.3%,74,14.8,12.3,1,157.6,11.3,49,25,1,0,0,0,0,4,0,0.0%,202001120kan
Vernon Hargreaves III,HargVe00,defense,HOU,0,7,3,42.9%,30,10,4.3,0,55.7,9,25,5,0,0,0,0,0,3,0,0.0%,202001120kan
Justin Reid,ReidJu00,defense,HOU,0,4,3,75.0%,101,33.7,25.3,0,116.7,12.3,50,51,0,0,0,0,0,3,2,40.0%,202001120kan
Gareon Conley,ConlGa00,defense,HOU,0,2,1,50.0%,6,6,3,1,95.8,5.5,4,2,0,0,0,1,1,5,1,16.7%,202001120kan
Charles Omenihu,OmenCh00,defense,HOU,0,1,1,100.0%,4,4,4,0,83.3,-5,-5,9,0,0,1,0,1,0,0,NA,202001120kan
Zach Cunningham,CunnZa00,defense,HOU,0,2,1,50.0%,NA,NA,0,NA,56.2,1.5,NA,NA,6,0,1,0,1,7,0,0.0%,202001120kan
Jacob Martin,MartJa02,defense,HOU,0,1,1,100.0%,17,17,17,1,158.3,6,6,11,0,1,0,0,1,1,1,50.0%,202001120kan
Mike Adams,AdamMi21,defense,HOU,0,1,1,100.0%,8,8,8,1,139.6,5,5,3,0,0,0,0,0,2,0,0.0%,202001120kan
J.J. Watt,WattJ.00,defense,HOU,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,0,3,0,0,NA,202001120kan
Whitney Mercilus,MercWh00,defense,HOU,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,2,1,0,0.0%,202001120kan
Brennan Scarlett,ScarBr00,defense,HOU,0,1,0,0.0%,NA,NA,0,NA,39.6,15,NA,NA,1,1,0,0,1,1,1,50.0%,202001120kan
Benardrick McKinney,McKiBe00,defense,HOU,0,1,0,0.0%,NA,NA,0,NA,39.6,-5,NA,NA,4,1,0,0,1,4,0,0.0%,202001120kan
D.J. Reader,ReadD.00,defense,HOU,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,50.0%,202001120kan
Charvarius Ward,WardCh01,defense,KAN,0,10,6,60.0%,105,17.5,10.5,0,95.8,13,80,25,0,0,0,0,0,4,0,0.0%,202001120kan
Tyrann Mathieu,MathTy00,defense,KAN,0,8,4,50.0%,46,11.5,5.8,0,67.7,14.4,30,16,2,1,0,0,1,3,2,40.0%,202001120kan
Reggie Ragland,RaglRe00,defense,KAN,0,3,3,100.0%,10,3.3,3.3,0,80.6,-0.7,-2,12,6,0,0,0,0,4,1,20.0%,202001120kan
Bashaud Breeland,BreeBa00,defense,KAN,0,7,3,42.9%,44,14.7,6.3,0,64,14,40,4,0,0,0,0,0,7,0,0.0%,202001120kan
Anthony Hitchens,HitcAn00,defense,KAN,0,3,3,100.0%,37,12.3,12.3,0,118.1,8,24,13,2,0,0,0,0,3,0,0.0%,202001120kan
Damien Wilson,WilsDa02,defense,KAN,0,5,3,60.0%,25,8.3,5,0,72.9,4.2,10,15,1,0,0,0,0,8,1,11.1%,202001120kan
Rashad Fenton,FentRa00,defense,KAN,0,5,2,40.0%,8,4,1.6,0,47.9,2.4,-4,12,3,0,0,1,1,5,0,0.0%,202001120kan
Ben Niemann,NiemBe00,defense,KAN,0,4,2,50.0%,15,7.5,3.8,0,59.4,3,2,13,4,0,0,0,0,4,0,0.0%,202001120kan
Kendall Fuller,FullKe00,defense,KAN,0,3,2,66.7%,21,10.5,7,1,126.4,10.7,21,0,2,0,0,0,0,1,0,0.0%,202001120kan
Tanoh Kpassagnon,KpasTa00,defense,KAN,0,1,1,100.0%,9,9,9,0,104.2,4,4,5,0,1,1,0,2,1,1,50.0%,202001120kan
Frank Clark,ClarFr01,defense,KAN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1,3,8,4,1,20.0%,202001120kan
Dorian O'Daniel,ODanDo00,defense,KAN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,2,2,0,0.0%,202001120kan
Daniel Sorensen,SoreDa01,defense,KAN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,0,0,1,8,0,0.0%,202001120kan
Terrell Suggs,SuggTe99,defense,KAN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,1,1,2,66.7%,202001120kan
