player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Carlos Hyde,HydeCa00,rushing,SEA,7,23,3,13,1.9,10,1.4,0,NA,202009130atl
Chris Carson,CarsCh00,rushing,SEA,6,21,1,5,0.8,16,2.7,1,6,202009130atl
Travis Homer,HomeTr00,rushing,SEA,3,-1,NA,-2,-0.7,1,0.3,0,NA,202009130atl
Russell Wilson,WilsRu00,rushing,SEA,3,29,1,25,8.3,4,1.3,0,NA,202009130atl
David Moore,MoorDa03,rushing,SEA,1,12,1,8,8,4,4,0,NA,202009130atl
Todd Gurley,GurlTo01,rushing,ATL,14,56,3,35,2.5,21,1.5,0,NA,202009130atl
Brian Hill,HillBr02,rushing,ATL,3,12,1,6,2,6,2,0,NA,202009130atl
Sharrod Neasman,NeasSh00,rushing,ATL,1,2,NA,2,2,0,0,0,NA,202009130atl
Calvin Ridley,RidlCa00,rushing,ATL,1,-1,0,-1,-1,0,0,0,NA,202009130atl
Matt Ryan,RyanMa00,rushing,ATL,1,-1,0,-1,-1,0,0,0,NA,202009130atl
Ito Smith,SmitIt00,rushing,ATL,1,4,NA,3,3,1,1,0,NA,202009130atl
