player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Ronald Jones II,JoneRo01,rushing,TAM,17,66,5,53,3.1,13,0.8,0,NA,202009130nor
Leonard Fournette,FourLe00,rushing,TAM,5,5,0,4,0.8,1,0.2,0,NA,202009130nor
Tom Brady,BradTo00,rushing,TAM,3,9,2,5,1.7,4,1.3,1,3,202009130nor
Scott Miller,MillSc01,rushing,TAM,1,6,0,6,6,0,0,0,NA,202009130nor
Latavius Murray,MurrLa00,rushing,NOR,15,48,3,26,1.7,22,1.5,1,15,202009130nor
Alvin Kamara,KamaAl00,rushing,NOR,12,16,1,2,0.2,14,1.2,1,12,202009130nor
Taysom Hill,HillTa00,rushing,NOR,3,13,1,13,4.3,0,0,0,NA,202009130nor
Drew Brees,BreeDr00,rushing,NOR,2,0,0,0,0,0,0,0,NA,202009130nor
Deonte Harris,HarrDe07,rushing,NOR,1,9,0,0,0,9,9,0,NA,202009130nor
Ty Montgomery,MontTy01,rushing,NOR,1,-4,NA,-4,-4,0,0,0,NA,202009130nor
