player_name,pfr_player_id,adv_stat_category,team,tgt,rec,receiving_yards,receiving_td,receiving_fd,receiving_yards_before_catch,receiving_yards_before_catch_avg,receiving_yards_after_catch,receiving_yards_after_catch_avg,adot,receiving_broken_tackles,receiving_per_broken_tackle,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,pfr_game_id
Adam Thielen,ThieAd00,receiving,MIN,10,8,114,1,4,83,10.4,31,3.9,13.2,0,NA,0,0,0,147.5,202010040htx
Justin Jefferson,JeffJu00,receiving,MIN,5,4,103,0,4,76,19,27,6.8,17.6,0,NA,0,0,0,118.7,202010040htx
Dalvin Cook,CookDa01,receiving,MIN,2,2,16,0,1,-11,-5.5,27,13.5,-5.5,0,NA,0,0,0,100,202010040htx
Kyle Rudolph,RudoKy00,receiving,MIN,2,2,27,0,1,18,9,9,4.5,9,0,NA,0,0,0,118.7,202010040htx
Olabisi Johnson,JohnOl00,receiving,MIN,1,0,0,0,NA,0,NA,0,NA,32,0,NA,0,0,0,39.6,202010040htx
Irv Smith Jr.,SmitIr01,receiving,MIN,1,0,0,0,NA,0,NA,0,NA,20,0,NA,0,0,0,39.6,202010040htx
Will Fuller,FullWi01,receiving,HOU,7,6,108,1,3,90,15,18,3,13.6,0,NA,0,0,0,158.3,202010040htx
Jordan Akins,AkinJo00,receiving,HOU,3,3,46,0,2,26,8.7,20,6.7,8.7,0,NA,0,0,0,118.7,202010040htx
Duke Johnson,JohnDu00,receiving,HOU,4,3,21,0,1,3,1,18,6,2.3,0,NA,0,0,0,86.5,202010040htx
Randall Cobb,CobbRa00,receiving,HOU,5,2,36,0,2,8,4,28,14,4.8,0,NA,0,0,0,65.4,202010040htx
Darren Fells,FellDa01,receiving,HOU,2,2,21,0,1,16,8,5,2.5,8,0,NA,0,0,0,110.4,202010040htx
David Johnson,JohnDa08,receiving,HOU,3,2,29,0,1,16,8,13,6.5,6.3,0,NA,1,33.3,0,97.9,202010040htx
Kenny Stills,StilKe00,receiving,HOU,4,2,39,1,2,39,19.5,0,0,16,0,NA,0,0,0,124,202010040htx
Brandin Cooks,CookBr00,receiving,HOU,3,0,0,0,NA,0,NA,0,NA,10.7,0,NA,0,0,0,39.6,202010040htx
