player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Devonta Freeman,FreeDe00,rushing,NYG,11,33,NA,32,2.9,1,0.1,1,11,202010040ram
Wayne Gallman,GallWa00,rushing,NYG,6,45,NA,20,3.3,25,4.2,0,NA,202010040ram
Daniel Jones,JoneDa05,rushing,NYG,6,45,1,33,5.5,12,2,0,NA,202010040ram
C.J. Board,BoarC.00,rushing,NYG,1,3,NA,3,3,0,0,0,NA,202010040ram
Dion Lewis,LewiDi00,rushing,NYG,1,10,NA,10,10,0,0,0,NA,202010040ram
Malcolm Brown,BrowMa03,rushing,LAR,9,38,0,34,3.8,4,0.4,0,NA,202010040ram
Darrell Henderson,HendDa00,rushing,LAR,8,21,3,14,1.8,7,0.9,1,8,202010040ram
Jared Goff,GoffJa00,rushing,LAR,3,-3,0,-3,-1,0,0,0,NA,202010040ram
Gerald Everett,EverGe00,rushing,LAR,1,2,1,2,2,0,0,0,NA,202010040ram
Cooper Kupp,KuppCo00,rushing,LAR,1,-2,NA,-2,-2,0,0,0,NA,202010040ram
Robert Woods,WoodRo02,rushing,LAR,1,2,NA,2,2,0,0,0,NA,202010040ram
