player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Miles Sanders,SandMi01,rushing,PHI,13,46,2,20,1.5,26,2,0,NA,202010040sfo
Carson Wentz,WentCa00,rushing,PHI,7,37,4,19,2.7,18,2.6,0,NA,202010040sfo
Jalen Hurts,HurtJa00,rushing,PHI,3,18,NA,18,6,0,0,0,NA,202010040sfo
Corey Clement,ClemCo00,rushing,PHI,2,3,NA,0,0,3,1.5,0,NA,202010040sfo
Boston Scott,ScotBo02,rushing,PHI,2,1,NA,0,0,1,0.5,0,NA,202010040sfo
Adrian Killins,KillAd00,rushing,PHI,1,-12,NA,-12,-12,0,0,0,NA,202010040sfo
Jerick McKinnon,McKiJe00,rushing,SFO,14,54,2,15,1.1,39,2.8,2,7,202010040sfo
Jeff Wilson,WilsJe01,rushing,SFO,3,6,0,3,1,3,1,0,NA,202010040sfo
Brandon Aiyuk,AiyuBr00,rushing,SFO,1,38,1,4,4,34,34,1,1,202010040sfo
George Kittle,KittGe00,rushing,SFO,1,8,0,4,4,4,4,0,NA,202010040sfo
Deebo Samuel,SamuDe00,rushing,SFO,1,10,1,6,6,4,4,0,NA,202010040sfo
