player_name,pfr_player_id,adv_stat_category,team,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct,pfr_game_id
Justin Reid,ReidJu00,defense,HOU,0,7,6,85.7%,92,15.3,13.1,1,158.3,8.6,49,43,0,0,0,0,0,7,3,30.0%,202010180oti
Bradley Roby,RobyBr00,defense,HOU,1,7,5,71.4%,64,12.8,9.1,1,99.7,14.4,57,7,0,0,0,0,0,7,2,22.2%,202010180oti
Eric Murray,MurrEr00,defense,HOU,0,5,4,80.0%,47,11.8,9.4,0,105.8,4.4,24,23,1,0,0,0,0,5,5,50.0%,202010180oti
Tyrell Adams,AdamTy00,defense,HOU,0,7,3,42.9%,17,5.7,2.4,1,89.9,1.3,11,6,2,0,0,1,1,8,1,11.1%,202010180oti
Zach Cunningham,CunnZa00,defense,HOU,0,3,3,100.0%,72,24,24,0,118.7,2,6,66,4,1,0,0,1,7,3,30.0%,202010180oti
Vernon Hargreaves III,HargVe00,defense,HOU,0,3,3,100.0%,24,8,8,0,100,6.3,19,5,0,0,0,0,0,5,2,28.6%,202010180oti
Lonnie Johnson Jr.,JohnLo01,defense,HOU,0,3,2,66.7%,17,8.5,5.7,0,81.2,22,17,0,1,0,1,0,1,5,1,16.7%,202010180oti
Brennan Scarlett,ScarBr00,defense,HOU,0,2,1,50.0%,2,2,1,0,56.2,-1.5,0,2,2,0,0,0,0,6,1,14.3%,202010180oti
Ross Blacklock,BlacRo00,defense,HOU,0,1,1,100.0%,-1,-1,-1,0,79.2,-4,-4,3,0,0,0,0,0,1,1,50.0%,202010180oti
Jacob Martin,MartJa02,defense,HOU,0,1,1,100.0%,10,10,10,0,108.3,10,10,0,5,0,0,0,0,1,0,0.0%,202010180oti
Whitney Mercilus,MercWh00,defense,HOU,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,0,3,0,0,NA,202010180oti
J.J. Watt,WattJ.00,defense,HOU,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,2,4,0,0.0%,202010180oti
Charles Omenihu,OmenCh00,defense,HOU,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,2,0,1,100.0%,202010180oti
P.J. Hall,HallP.00,defense,HOU,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,7,0,0.0%,202010180oti
Michael Thomas,ThomMi02,defense,HOU,0,1,0,0.0%,NA,NA,0,NA,39.6,4,NA,NA,3,0,0,0,0,2,0,0.0%,202010180oti
Malcolm Butler,ButlMa01,defense,TEN,0,11,7,63.6%,105,15,9.5,2,134.5,11.8,97,8,0,0,0,0,0,8,0,0.0%,202010180oti
Kristian Fulton,FultKr00,defense,TEN,0,5,5,100.0%,56,11.2,11.2,1,152.9,6.2,31,25,3,0,0,0,0,3,2,40.0%,202010180oti
Jayon Brown,BrowJa06,defense,TEN,0,6,4,66.7%,55,13.8,9.2,0,95.8,5.8,23,32,2,0,0,0,0,10,0,0.0%,202010180oti
Kevin Byard,ByarKe01,defense,TEN,0,3,3,100.0%,28,9.3,9.3,1,145.1,9,27,1,0,0,0,0,0,8,1,11.1%,202010180oti
Harold Landry,LandHa00,defense,TEN,0,2,2,100.0%,24,12,12,0,116.7,5.5,11,13,6,1,0,0.5,2,6,2,25.0%,202010180oti
DaQuan Jones,JoneDa04,defense,TEN,0,1,1,100.0%,6,6,6,0,91.7,3,3,3,0,0,0,0.5,1,4,1,20.0%,202010180oti
Rashaan Evans,EvanRa01,defense,TEN,0,1,1,100.0%,16,16,16,0,118.7,4,4,12,2,0,1,0,1,7,0,0.0%,202010180oti
Kenny Vaccaro,VaccKe00,defense,TEN,0,2,1,50.0%,18,18,9,0,81.2,13.5,15,3,4,1,0,0,1,8,1,11.1%,202010180oti
Tye Smith,SmitTy01,defense,TEN,0,1,1,100.0%,6,6,6,0,91.7,4,4,2,0,0,0,0,0,1,0,0.0%,202010180oti
Johnathan Joseph,JoseJo20,defense,TEN,0,3,1,33.3%,9,9,3,0,42.4,20.3,7,2,0,0,0,0,0,1,0,0.0%,202010180oti
Jadeveon Clowney,ClowJa00,defense,TEN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,2,2,0,0.0%,202010180oti
Jeffery Simmons,SimmJe01,defense,TEN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,2,6,2,25.0%,202010180oti
Jack Crawford,CrawJa00,defense,TEN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,0,0.0%,202010180oti
Amani Hooker,HookAm00,defense,TEN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0.0%,202010180oti
