player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Wayne Gallman,GallWa00,rushing,NYG,10,34,4,1,0.1,33,3.3,0,NA,202010220phi
Daniel Jones,JoneDa05,rushing,NYG,4,92,1,86,21.5,6,1.5,0,NA,202010220phi
Devonta Freeman,FreeDe00,rushing,NYG,3,8,NA,5,1.7,3,1,0,NA,202010220phi
Dion Lewis,LewiDi00,rushing,NYG,3,23,1,13,4.3,10,3.3,0,NA,202010220phi
Evan Engram,EngrEv00,rushing,NYG,2,3,0,0,0,3,1.5,0,NA,202010220phi
Boston Scott,ScotBo02,rushing,PHI,12,46,3,21,1.8,25,2.1,0,NA,202010220phi
Carson Wentz,WentCa00,rushing,PHI,7,14,3,5,0.7,9,1.3,0,NA,202010220phi
Corey Clement,ClemCo00,rushing,PHI,2,9,NA,4,2,5,2.5,0,NA,202010220phi
Jason Huntley,HuntJa01,rushing,PHI,2,13,1,7,3.5,6,3,0,NA,202010220phi
Jalen Hurts,HurtJa00,rushing,PHI,2,2,NA,1,0.5,1,0.5,0,NA,202010220phi
DeSean Jackson,JackDe00,rushing,PHI,1,12,1,8,8,4,4,0,NA,202010220phi
