player_name,pfr_player_id,adv_stat_category,team,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct,pfr_game_id
Minkah Fitzpatrick,FitzMi00,defense,PIT,0,2,2,100.0%,27,13.5,13.5,1,158.3,5.5,11,16,2,0,0,0,0,7,0,0.0%,202011010rav
Steven Nelson,NelsSt01,defense,PIT,0,6,2,33.3%,9,4.5,1.5,0,42.4,4.8,9,0,0,0,0,0,0,4,0,0.0%,202011010rav
Justin Layne,LaynJu00,defense,PIT,0,2,2,100.0%,42,21,21,0,118.7,14,28,14,0,0,0,0,0,2,2,50.0%,202011010rav
Robert Spillane,SpilRo00,defense,PIT,1,7,2,28.6%,45,22.5,6.4,0,14.3,6.4,13,32,3,0,0,0,0,11,1,8.3%,202011010rav
Marcus Allen,AlleMa03,defense,PIT,0,2,1,50.0%,8,8,4,0,60.4,5.5,4,4,1,0,0,0,0,1,1,50.0%,202011010rav
Terrell Edmunds,EdmuTe00,defense,PIT,0,1,1,100.0%,39,39,39,0,118.7,37,37,2,3,0,0,0,0,2,0,0.0%,202011010rav
Joe Haden,HadeJo99,defense,PIT,0,2,1,50.0%,14,14,7,0,72.9,10.5,13,1,0,0,0,0,0,7,0,0.0%,202011010rav
Vince Williams,WillVi01,defense,PIT,0,1,1,100.0%,6,6,6,1,131.2,6,6,0,1,0,0,0,0,5,4,44.4%,202011010rav
T.J. Watt,WattT.00,defense,PIT,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,4,1,7,5,2,28.6%,202011010rav
Stephon Tuitt,TuitSt00,defense,PIT,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,2,3,9,1,10.0%,202011010rav
Bud Dupree,DuprAl00,defense,PIT,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,1,1,4,0,0.0%,202011010rav
Isaiah Buggs,BuggIs00,defense,PIT,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,5,0,0.0%,202011010rav
Cameron Sutton,SuttCa00,defense,PIT,0,1,0,0.0%,NA,NA,0,NA,39.6,23,NA,NA,1,0,0,0,0,2,1,33.3%,202011010rav
Alex Highsmith,HighAl02,defense,PIT,1,1,0,0.0%,NA,NA,0,NA,0,-4,NA,NA,0,0,0,0,0,2,0,0.0%,202011010rav
Marlon Humphrey,HumpMa00,defense,BAL,0,4,4,100.0%,32,8,8,0,100,3,12,20,2,0,0,0,0,4,1,20.0%,202011010rav
Terrell Bonds,BondTe00,defense,BAL,0,3,3,100.0%,24,8,8,0,100,3,9,15,0,0,0,0,0,3,1,25.0%,202011010rav
Jimmy Smith,SmitJi03,defense,BAL,0,7,3,42.9%,8,2.7,1.1,0,50.3,7,5,3,0,0,0,0,0,3,0,0.0%,202011010rav
Marcus Peters,PeteMa00,defense,BAL,0,7,3,42.9%,23,7.7,3.3,0,51.5,15.1,14,9,0,0,0,0,0,5,1,16.7%,202011010rav
Patrick Queen,QueePa00,defense,BAL,0,5,3,60.0%,41,13.7,8.2,0,86.2,3.2,14,27,8,0,0,0,0,4,5,55.6%,202011010rav
Chuck Clark,ClarCh00,defense,BAL,0,2,2,100.0%,22,11,11,1,152.1,11,22,0,0,0,0,0,0,2,0,0.0%,202011010rav
Tyus Bowser,BowsTy00,defense,BAL,0,2,1,50.0%,7,7,3.5,0,58.3,5,5,2,4,0,1,0,1,1,0,0.0%,202011010rav
Chris Board,BoarCh00,defense,BAL,0,1,1,100.0%,7,7,7,0,95.8,5,5,2,2,0,0,0.5,1,2,0,0.0%,202011010rav
L.J. Fort,FortL.00,defense,BAL,0,1,1,100.0%,18,18,18,1,158.3,3,3,15,2,0,0,0,0,1,0,0.0%,202011010rav
Jaylon Ferguson,FergJa02,defense,BAL,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,1,2,2,0,0.0%,202011010rav
DeShon Elliott,ElliDe02,defense,BAL,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0.5,2,7,0,0.0%,202011010rav
Pernell McPhee,McPhPe00,defense,BAL,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,1,0,1,1,1,50.0%,202011010rav
Yannick Ngakoue,NgakYa00,defense,BAL,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,50.0%,202011010rav
