player_name,pfr_player_id,adv_stat_category,team,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct,pfr_game_id
Quinton Dunbar,DunbQu00,defense,SEA,0,12,10,83.3%,164,16.4,13.7,1,146.5,8.3,88,76,0,0,0,0,0,6,1,14.3%,202011080buf
D.J. Reed,ReedD.00,defense,SEA,0,5,5,100.0%,55,11,11,0,112.5,7,35,20,2,0,0,0,0,6,0,0.0%,202011080buf
Jamal Adams,AdamJa00,defense,SEA,0,5,4,80.0%,63,15.8,12.6,0,118.7,7,27,36,11,1,1,1.5,4,5,1,16.7%,202011080buf
Bobby Wagner,WagnBo00,defense,SEA,0,4,4,100.0%,35,8.8,8.8,0,103.1,1,4,31,15,0,0,1,1,6,1,14.3%,202011080buf
Tre Flowers,FlowTr01,defense,SEA,0,8,4,50.0%,41,10.3,5.1,0,65.1,16.8,34,7,1,0,0,0,0,6,1,14.3%,202011080buf
K.J. Wright,WrigK.00,defense,SEA,0,1,1,100.0%,1,1,1,1,118.7,1,1,0,9,0,0,1,1,2,1,33.3%,202011080buf
Ryan Neal,NealRy00,defense,SEA,0,1,1,100.0%,11,11,11,0,112.5,11,11,0,1,0,0,0,0,1,0,0.0%,202011080buf
Quandre Diggs,DiggQu00,defense,SEA,0,1,1,100.0%,25,25,25,1,158.3,24,24,1,0,0,0,0,0,3,0,0.0%,202011080buf
Carlos Dunlap,DunlCa99,defense,SEA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1.5,3,6,0,0.0%,202011080buf
Jarran Reed,ReedJa02,defense,SEA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,3,4,0,0.0%,202011080buf
Rasheem Green,GreeRa01,defense,SEA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,2,1,0,0.0%,202011080buf
Jordyn Brooks,BrooJo01,defense,SEA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,2,1,33.3%,202011080buf
Tremaine Edmunds,EdmuTr01,defense,BUF,0,5,5,100.0%,22,4.4,4.4,0,85,3.8,13,9,9,0,0,1,1,11,1,8.3%,202011080buf
Taron Johnson,JohnTa01,defense,BUF,0,4,4,100.0%,89,22.3,22.3,1,158.3,18.8,75,14,4,1,0,0,1,5,0,0.0%,202011080buf
Jordan Poyer,PoyeJo00,defense,BUF,1,5,3,60.0%,19,6.3,3.8,0,28.3,7.4,11,8,3,0,1,0,1,10,1,9.1%,202011080buf
Levi Wallace,WallLe00,defense,BUF,0,6,3,50.0%,42,14,7,0,72.9,10.2,25,17,0,0,0,0,0,0,1,100.0%,202011080buf
Tre'Davious White,WhitTr01,defense,BUF,1,7,3,42.9%,65,21.7,9.3,0,36.9,12.6,63,2,0,0,0,0,0,7,0,0.0%,202011080buf
A.J. Klein,KleiAJ00,defense,BUF,0,4,2,50.0%,53,26.5,13.3,0,95.8,9.5,-3,56,11,0,3,2,5,5,0,0.0%,202011080buf
Mario Addison,AddiMa00,defense,BUF,0,2,2,100.0%,17,8.5,8.5,0,102.1,6,12,5,0,0,0,1,1,4,0,0.0%,202011080buf
Dean Marlowe,MarlDe00,defense,BUF,0,2,2,100.0%,37,18.5,18.5,0,118.7,10,20,17,4,0,0,0,0,2,0,0.0%,202011080buf
Micah Hyde,HydeMi00,defense,BUF,0,2,2,100.0%,24,12,12,0,116.7,8,16,8,1,0,0,0,0,6,0,0.0%,202011080buf
Dane Jackson,JackDa02,defense,BUF,0,2,2,100.0%,9,4.5,4.5,1,125,4,8,1,0,0,0,0,0,1,0,0.0%,202011080buf
Trent Murphy,MurpTr00,defense,BUF,0,1,1,100.0%,13,13,13,0,118.7,5,5,8,0,0,1,0,1,1,1,50.0%,202011080buf
Jerry Hughes,HughJe99,defense,BUF,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,1,4,1,0,0.0%,202011080buf
Justin Zimmer,ZimmJu00,defense,BUF,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,2,0,0.0%,202011080buf
