player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
James Conner,ConnJa00,rushing,PIT,9,22,1,15,1.7,7,0.8,0,NA,202011080dal
Anthony McFarland Jr.,McFaAn00,rushing,PIT,3,7,NA,6,2,1,0.3,0,NA,202011080dal
Benny Snell Jr.,SnelBe00,rushing,PIT,3,1,NA,1,0.3,0,0,0,NA,202011080dal
Chase Claypool,ClayCh01,rushing,PIT,1,4,0,4,4,0,0,0,NA,202011080dal
Diontae Johnson,JohnDi01,rushing,PIT,1,4,0,0,0,4,4,0,NA,202011080dal
Ben Roethlisberger,RoetBe00,rushing,PIT,1,8,1,8,8,0,0,0,NA,202011080dal
Ezekiel Elliott,ElliEz00,rushing,DAL,18,51,4,25,1.4,26,1.4,1,18,202011080dal
Tony Pollard,PollTo00,rushing,DAL,9,57,3,29,3.2,28,3.1,1,9,202011080dal
Garrett Gilbert,GilbGa01,rushing,DAL,3,28,2,13,4.3,15,5,1,3,202011080dal
Amari Cooper,CoopAm00,rushing,DAL,1,8,0,8,8,0,0,0,NA,202011080dal
