player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Latavius Murray,MurrLa00,rushing,NOR,10,39,3,18,1.8,21,2.1,0,NA,202011080tam
Alvin Kamara,KamaAl00,rushing,NOR,9,40,4,25,2.8,15,1.7,1,9,202011080tam
Taysom Hill,HillTa00,rushing,NOR,7,54,3,38,5.4,16,2.3,0,NA,202011080tam
Dwayne Washington,WashDw00,rushing,NOR,5,9,NA,6,1.2,3,0.6,0,NA,202011080tam
Jameis Winston,WinsJa00,rushing,NOR,3,-3,0,-3,-1,0,0,0,NA,202011080tam
Drew Brees,BreeDr00,rushing,NOR,2,-2,0,-2,-1,0,0,0,NA,202011080tam
Michael Burton,BurtMi00,rushing,NOR,1,1,1,0,0,1,1,0,NA,202011080tam
Ronald Jones II,JoneRo01,rushing,TAM,3,9,NA,5,1.7,4,1.3,0,NA,202011080tam
Leonard Fournette,FourLe00,rushing,TAM,1,0,0,0,0,0,0,0,NA,202011080tam
Blaine Gabbert,GabbBl00,rushing,TAM,1,-1,NA,-1,-1,0,0,0,NA,202011080tam
