player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Latavius Murray,MurrLa00,rushing,NOR,19,124,4,96,5.1,28,1.5,0,NA,202011290den
Alvin Kamara,KamaAl00,rushing,NOR,11,54,5,42,3.8,12,1.1,0,NA,202011290den
Taysom Hill,HillTa00,rushing,NOR,10,44,5,35,3.5,9,0.9,0,NA,202011290den
Dwayne Washington,WashDw00,rushing,NOR,3,6,NA,4,1.3,2,0.7,0,NA,202011290den
Michael Thomas,ThomMi05,rushing,NOR,1,1,0,0,0,1,1,0,NA,202011290den
Melvin Gordon,GordMe00,rushing,DEN,12,31,2,4,0.3,27,2.3,0,NA,202011290den
Phillip Lindsay,LindPh00,rushing,DEN,9,20,1,7,0.8,13,1.4,0,NA,202011290den
Royce Freeman,FreeRo00,rushing,DEN,8,50,2,28,3.5,22,2.8,1,8,202011290den
KJ Hamler,HamlKJ00,rushing,DEN,2,-8,NA,-8,-4,0,0,0,NA,202011290den
Kendall Hinton,HintKe00,rushing,DEN,2,7,0,4,2,3,1.5,0,NA,202011290den
