player_name,pfr_player_id,adv_stat_category,team,tgt,rec,receiving_yards,receiving_td,receiving_fd,receiving_yards_before_catch,receiving_yards_before_catch_avg,receiving_yards_after_catch,receiving_yards_after_catch_avg,adot,receiving_broken_tackles,receiving_per_broken_tackle,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,pfr_game_id
Curtis Samuel,SamuCu00,receiving,CAR,5,5,72,0,2,30,6,42,8.4,6,0,NA,0,0,0,118.7,202011290min
Robby Anderson,AndeRo04,receiving,CAR,7,4,94,1,3,49,12.3,45,11.3,18.1,0,NA,1,14.3,0,141.4,202011290min
D.J. Moore,MoorD.00,receiving,CAR,9,4,61,0,4,45,11.3,16,4,14.3,0,NA,0,0,0,67.4,202011290min
Mike Davis,DaviMi01,receiving,CAR,6,3,24,0,0,7,2.3,17,5.7,1.5,0,NA,0,0,1,20.8,202011290min
Trenton Cannon,CannTr00,receiving,CAR,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,79.2,202011290min
Chris Manhertz,ManhCh00,receiving,CAR,1,1,11,0,1,2,2,9,9,2,0,NA,0,0,0,112.5,202011290min
Ian Thomas,ThomIa00,receiving,CAR,2,1,4,0,NA,-1,-1,5,5,0,0,NA,0,0,0,56.2,202011290min
Rodney Smith,SmitRo08,receiving,CAR,1,0,0,0,0,0,NA,0,NA,0,0,NA,1,100,0,39.6,202011290min
Chad Beebe,BeebCh00,receiving,MIN,7,7,63,1,5,48,6.9,15,2.1,6.9,0,NA,0,0,0,143.7,202011290min
Justin Jefferson,JeffJu00,receiving,MIN,13,7,70,2,5,63,9,7,1,9.9,1,7,0,0,0,109,202011290min
Olabisi Johnson,JohnOl00,receiving,MIN,7,7,74,0,4,70,10,4,0.6,10,1,7,0,0,0,110.7,202011290min
Kyle Rudolph,RudoKy00,receiving,MIN,8,7,68,0,3,51,7.3,17,2.4,7.1,0,NA,0,0,0,102.1,202011290min
Dalvin Cook,CookDa01,receiving,MIN,4,4,21,0,1,-11,-2.8,32,8,-2.8,0,NA,0,0,0,88.5,202011290min
Tyler Conklin,ConkTy00,receiving,MIN,2,1,5,0,NA,3,3,2,2,13,0,NA,1,50,0,56.2,202011290min
Brandon Dillon,DillBr00,receiving,MIN,1,1,6,0,NA,5,5,1,1,5,0,NA,0,0,0,91.7,202011290min
Tajae Sharpe,SharTa00,receiving,MIN,1,0,0,0,NA,0,NA,0,NA,29,0,NA,0,0,0,39.6,202011290min
