player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Mike Davis,DaviMi01,rushing,CAR,14,59,5,42,3,17,1.2,0,NA,202012190gnb
Teddy Bridgewater,BridTe00,rushing,CAR,4,26,3,19,4.8,7,1.8,0,NA,202012190gnb
Rodney Smith,SmitRo08,rushing,CAR,4,23,2,18,4.5,5,1.3,0,NA,202012190gnb
Curtis Samuel,SamuCu00,rushing,CAR,2,6,0,5,2.5,1,0.5,0,NA,202012190gnb
Robby Anderson,AndeRo04,rushing,CAR,1,-1,0,-1,-1,0,0,0,NA,202012190gnb
D.J. Moore,MoorD.00,rushing,CAR,1,1,0,0,0,1,1,0,NA,202012190gnb
Brandon Zylstra,ZylsBr00,rushing,CAR,1,1,NA,1,1,0,0,0,NA,202012190gnb
Aaron Jones,JoneAa00,rushing,GNB,20,145,6,113,5.7,32,1.6,0,NA,202012190gnb
Aaron Rodgers,RodgAa00,rushing,GNB,5,26,2,26,5.2,0,0,0,NA,202012190gnb
AJ Dillon,DillAJ00,rushing,GNB,1,18,1,10,10,8,8,1,1,202012190gnb
Jamaal Williams,WillJa06,rushing,GNB,1,6,0,5,5,1,1,0,NA,202012190gnb
