player_name,pfr_player_id,adv_stat_category,team,tgt,rec,receiving_yards,receiving_td,receiving_fd,receiving_yards_before_catch,receiving_yards_before_catch_avg,receiving_yards_after_catch,receiving_yards_after_catch_avg,adot,receiving_broken_tackles,receiving_per_broken_tackle,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,pfr_game_id
Mike Evans,EvanMi00,receiving,TAM,7,6,110,0,5,65,10.8,45,7.5,10.6,0,NA,0,0,0,118.7,202012200atl
Antonio Brown,BrowAn04,receiving,TAM,7,5,93,1,4,56,11.2,37,7.4,9,2,2.5,0,0,0,153.3,202012200atl
Cameron Brate,BratCa00,receiving,TAM,4,4,54,0,3,41,10.3,13,3.3,10.3,0,NA,0,0,0,118.7,202012200atl
Chris Godwin,GodwCh00,receiving,TAM,5,4,36,1,3,18,4.5,18,4.5,8,0,NA,0,0,0,136.2,202012200atl
Leonard Fournette,FourLe00,receiving,TAM,5,3,16,0,1,-7,-2.3,23,7.7,-1.8,2,1.5,2,40,0,65.4,202012200atl
Scott Miller,MillSc01,receiving,TAM,3,3,20,0,1,9,3,11,3.7,3,0,NA,0,0,0,94.4,202012200atl
Rob Gronkowski,GronRo00,receiving,TAM,7,3,29,0,2,15,5,14,4.7,8.3,0,NA,0,0,0,55.1,202012200atl
LeSean McCoy,McCoLe01,receiving,TAM,3,3,32,0,NA,-2,-0.7,34,11.3,-0.7,0,NA,0,0,0,111.1,202012200atl
Ke'Shawn Vaughn,VaugKe00,receiving,TAM,1,0,0,0,NA,0,NA,0,NA,1,0,NA,1,100,0,39.6,202012200atl
Tyler Johnson,JohnTy00,receiving,TAM,1,0,0,0,NA,0,NA,0,NA,45,0,NA,0,0,0,39.6,202012200atl
Calvin Ridley,RidlCa00,receiving,ATL,14,10,163,1,8,135,13.5,28,2.8,15.2,0,NA,1,7.1,0,133.9,202012200atl
Russell Gage,GageRu00,receiving,ATL,10,5,68,1,5,49,9.8,19,3.8,13.4,0,NA,1,10,0,105.4,202012200atl
Hayden Hurst,HursHa00,receiving,ATL,5,4,21,1,2,21,5.3,0,0,4.2,0,NA,0,0,0,123.7,202012200atl
Keith Smith,SmitKe03,receiving,ATL,3,3,32,0,2,5,1.7,27,9,1.7,0,NA,0,0,0,111.1,202012200atl
Brian Hill,HillBr02,receiving,ATL,2,2,9,0,NA,4,2,5,2.5,2,1,2,0,0,0,85.4,202012200atl
Todd Gurley,GurlTo01,receiving,ATL,2,2,15,0,1,8,4,7,3.5,4,1,2,0,0,0,97.9,202012200atl
Brandon Powell,PoweBr00,receiving,ATL,4,2,5,0,NA,4,2,1,0.5,3,0,NA,0,0,0,56.2,202012200atl
Ito Smith,SmitIt00,receiving,ATL,3,2,9,0,1,0,0,9,4.5,1.7,0,NA,0,0,0,70.1,202012200atl
Luke Stocker,StocLu00,receiving,ATL,3,2,21,0,1,1,0.5,20,10,1.7,0,NA,0,0,0,86.8,202012200atl
Laquon Treadwell,TreaLa00,receiving,ATL,1,1,14,0,1,11,11,3,3,11,0,NA,0,0,0,118.7,202012200atl
Christian Blake,BlakCh00,receiving,ATL,1,1,-1,0,NA,-1,-1,0,0,-1,0,NA,0,0,0,79.2,202012200atl
