player_name,pfr_player_id,adv_stat_category,team,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct,pfr_game_id
Jeff Gladney,GladJe00,defense,MIN,0,4,4,100.0%,41,10.3,10.3,0,109.4,7.5,30,11,0,0,0,0,0,5,3,37.5%,202012250nor
Eric Wilson,WilsEr00,defense,MIN,0,6,4,66.7%,22,5.5,3.7,0,72.9,7,-1,23,2,0,0,0,0,9,1,10.0%,202012250nor
Harrison Smith,SmitHa00,defense,MIN,0,3,3,100.0%,61,20.3,20.3,0,118.7,17.3,52,9,1,0,0,0,0,8,2,20.0%,202012250nor
Chris Jones,JoneCh06,defense,MIN,0,4,3,75.0%,32,10.7,8,0,97.9,11,28,4,0,0,0,0,0,3,0,0.0%,202012250nor
Cameron Dantzler,DantCa00,defense,MIN,0,3,3,100.0%,54,18,18,0,118.7,12,36,18,0,0,0,0,0,2,1,33.3%,202012250nor
Blake Lynch,LyncBl00,defense,MIN,0,3,2,66.7%,53,26.5,17.7,0,109.7,7.3,18,35,3,1,0,0,1,10,0,0.0%,202012250nor
Shamar Stephen,StepSh00,defense,MIN,0,1,1,100.0%,7,7,7,0,95.8,-6,-6,13,0,0,1,0,1,3,1,25.0%,202012250nor
Hardy Nickerson,NickHa02,defense,MIN,1,3,1,33.3%,41,41,13.7,0,42.4,6.3,15,26,0,0,0,0,0,5,0,0.0%,202012250nor
Harrison Hand,HandHa00,defense,MIN,1,3,1,33.3%,31,31,10.3,0,33.3,15,19,12,0,0,0,0,0,3,0,0.0%,202012250nor
Anthony Harris,HarrAn01,defense,MIN,0,2,1,50.0%,1,1,0.5,0,56.2,5.5,-5,6,1,0,0,0,0,8,2,20.0%,202012250nor
D.J. Wonnum,WonnDJ00,defense,MIN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,2,1,33.3%,202012250nor
Jordan Brailford,BraiJo00,defense,MIN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,202012250nor
Hercules Mata'afa,MataHe00,defense,MIN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,4,1,20.0%,202012250nor
Janoris Jenkins,JenkJa03,defense,NOR,0,7,6,85.7%,66,11,9.4,1,145.5,6.1,31,35,0,0,0,0,0,4,1,20.0%,202012250nor
Demario Davis,DaviDe00,defense,NOR,0,6,5,83.3%,38,7.6,6.3,0,93.1,-1,-6,44,6,0,2,0,2,8,1,11.1%,202012250nor
Malcolm Jenkins,JenkMa99,defense,NOR,0,5,4,80.0%,51,12.8,10.2,1,148.7,4.8,24,27,10,1,1,0.5,3,7,0,0.0%,202012250nor
Marshon Lattimore,LattMa01,defense,NOR,0,8,4,50.0%,51,12.8,6.4,0,70.3,7.9,27,24,0,0,0,0,0,6,1,14.3%,202012250nor
P.J. Williams,WillP.00,defense,NOR,0,3,3,100.0%,41,13.7,13.7,0,118.7,8.7,26,15,0,0,0,0,0,4,2,33.3%,202012250nor
Alex Anzalone,AnzaAl00,defense,NOR,0,3,3,100.0%,14,4.7,4.7,2,125.7,3.3,10,4,2,0,0,0,0,1,0,0.0%,202012250nor
Kwon Alexander,AlexKw00,defense,NOR,0,3,2,66.7%,13,6.5,4.3,0,75.7,0.3,1,12,2,0,0,0,0,3,1,25.0%,202012250nor
Chauncey Gardner-Johnson,GardCh00,defense,NOR,0,4,1,25.0%,14,14,3.5,0,41.7,7.5,14,0,7,0,1,0,1,3,0,0.0%,202012250nor
D.J. Swearinger,SweaDJ00,defense,NOR,0,1,1,100.0%,21,21,21,0,118.7,17,17,4,0,0,0,0,0,3,0,0.0%,202012250nor
Cameron Jordan,JordCa00,defense,NOR,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,2,3,0,0.0%,202012250nor
Malcolm Roach,RoacMa01,defense,NOR,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,2,1,0,0.0%,202012250nor
David Onyemata,OnyeDa00,defense,NOR,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.5,1,3,0,0.0%,202012250nor
Carl Granderson,GranCa01,defense,NOR,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,0,0.0%,202012250nor
Shy Tuttle,TuttSh00,defense,NOR,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,0,0.0%,202012250nor
Zack Baun,BaunZa00,defense,NOR,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,100.0%,202012250nor
