player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Myles Gaskin,GaskMy00,rushing,MIA,14,87,3,55,3.9,32,2.3,1,14,202012260rai
Salvon Ahmed,AhmeSa01,rushing,MIA,6,2,NA,-2,-0.3,4,0.7,0,NA,202012260rai
Tua Tagovailoa,TagoTu00,rushing,MIA,3,11,1,11,3.7,0,0,0,NA,202012260rai
Lynn Bowden Jr.,BowdLy00,rushing,MIA,1,8,1,0,0,8,8,2,0.5,202012260rai
Clayton Fejedelem,FejeCl00,rushing,MIA,1,22,1,22,22,0,0,0,NA,202012260rai
Josh Jacobs,JacoJo01,rushing,LVR,13,69,3,40,3.1,29,2.2,1,13,202012260rai
Devontae Booker,BookDe00,rushing,LVR,6,11,1,3,0.5,8,1.3,0,NA,202012260rai
Derek Carr,CarrDe02,rushing,LVR,2,-2,1,-2,-1,0,0,0,NA,202012260rai
Jalen Richard,RichJa01,rushing,LVR,2,19,NA,15,7.5,4,2,0,NA,202012260rai
Henry Ruggs III,RuggHe00,rushing,LVR,1,7,NA,4,4,3,3,0,NA,202012260rai
