player_name,pfr_player_id,adv_stat_category,team,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct,pfr_game_id
Anthony Averett,AverAn00,defense,BAL,0,5,2,40.0%,9,4.5,1.8,0,47.9,5.4,4,5,0,0,0,0,0,2,0,0.0%,202101030cin
Tyus Bowser,BowsTy00,defense,BAL,0,1,1,100.0%,3,3,3,0,79.2,-7,-7,10,3,1,1,0,2,3,0,0.0%,202101030cin
Malik Harrison,HarrMa06,defense,BAL,0,1,1,100.0%,21,21,21,0,118.7,17,17,4,0,0,0,0,0,2,0,0.0%,202101030cin
Marcus Peters,PeteMa00,defense,BAL,1,4,1,25.0%,8,8,2,0,0,5.5,1,7,0,0,0,0,0,1,1,50.0%,202101030cin
Patrick Queen,QueePa00,defense,BAL,0,1,1,100.0%,7,7,7,0,95.8,0,0,7,2,0,0,0,0,4,0,0.0%,202101030cin
Pernell McPhee,McPhPe00,defense,BAL,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,NA,202101030cin
Jordan Richards,RichJo00,defense,BAL,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,100.0%,202101030cin
Marlon Humphrey,HumpMa00,defense,BAL,0,1,0,0.0%,NA,NA,0,NA,39.6,10,NA,NA,0,0,0,0,0,1,0,0.0%,202101030cin
Tramon Williams,WillTr99,defense,BAL,0,1,0,0.0%,NA,NA,0,NA,39.6,NA,NA,NA,0,0,0,0,0,0,0,NA,202101030cin
Matt Judon,JudoMa00,defense,BAL,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,6,0,0.0%,202101030cin
Chuck Clark,ClarCh00,defense,BAL,1,3,0,0.0%,NA,NA,0,NA,0,12.7,NA,NA,2,0,0,0,0,4,1,20.0%,202101030cin
Nate Brooks,BrooNa00,defense,BAL,0,3,0,0.0%,NA,NA,0,NA,39.6,7.3,NA,NA,0,0,0,0,0,0,0,NA,202101030cin
Jaylon Ferguson,FergJa02,defense,BAL,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,0,0,0,NA,202101030cin
Chris Board,BoarCh00,defense,BAL,0,1,0,0.0%,NA,NA,0,NA,39.6,29,NA,NA,2,0,0,0,0,0,0,NA,202101030cin
DeShon Elliott,ElliDe02,defense,BAL,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,2,1,33.3%,202101030cin
Kristian Welch,WelcKr00,defense,BAL,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0.0%,202101030cin
LeShaun Sims,SimsLe00,defense,CIN,0,8,5,62.5%,64,12.8,8,2,127.1,9.1,46,18,0,0,0,0,0,4,0,0.0%,202101030cin
Akeem Davis-Gaither,DaviAk01,defense,CIN,1,3,3,100.0%,22,7.3,7.3,0,57.6,2,6,16,1,0,0,0,0,10,0,0.0%,202101030cin
Germaine Pratt,PratGe00,defense,CIN,0,2,2,100.0%,17,8.5,8.5,0,102.1,3,6,11,1,0,0,0,0,8,0,0.0%,202101030cin
Jalen Davis,DaviJa06,defense,CIN,0,1,1,100.0%,18,18,18,1,158.3,18,18,0,0,0,0,0,0,1,0,0.0%,202101030cin
Carl Lawson,LawsCa00,defense,CIN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,2,0,0.0%,202101030cin
Sam Hubbard,HubbSa00,defense,CIN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,5,0,0.0%,202101030cin
Vonn Bell,BellVo00,defense,CIN,0,2,0,0.0%,NA,NA,0,NA,39.6,32,NA,NA,0,0,0,0,0,3,0,0.0%,202101030cin
Khalid Kareem,KareKh00,defense,CIN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,50.0%,202101030cin
Josh Bynes,ByneJo00,defense,CIN,0,1,0,0.0%,NA,NA,0,NA,39.6,0,NA,NA,0,0,0,0,0,10,1,9.1%,202101030cin
Jordan Evans,EvanJo01,defense,CIN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,3,1,25.0%,202101030cin
Amani Bledsoe,BledAm01,defense,CIN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,50.0%,202101030cin
Jessie Bates III,BateJe00,defense,CIN,0,1,0,0.0%,NA,NA,0,NA,39.6,18,NA,NA,1,0,0,0,0,8,2,20.0%,202101030cin
Darius Phillips,PhilDa02,defense,CIN,0,1,0,0.0%,NA,NA,0,NA,39.6,6,NA,NA,0,0,0,0,0,3,0,0.0%,202101030cin
