player_name,pfr_player_id,adv_stat_category,team,tgt,rec,receiving_yards,receiving_td,receiving_fd,receiving_yards_before_catch,receiving_yards_before_catch_avg,receiving_yards_after_catch,receiving_yards_after_catch_avg,adot,receiving_broken_tackles,receiving_per_broken_tackle,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,pfr_game_id
Dalton Schultz,SchuDa00,receiving,DAL,10,7,70,0,5,33,4.7,37,5.3,6,2,3.5,1,10,1,50,202101030nyg
Amari Cooper,CoopAm00,receiving,DAL,9,6,41,0,2,26,4.3,15,2.5,7,0,NA,0,0,0,76.6,202101030nyg
CeeDee Lamb,LambCe00,receiving,DAL,7,5,43,0,3,27,5.4,16,3.2,5.3,0,NA,1,14.3,0,87.2,202101030nyg
Michael Gallup,GallMi00,receiving,DAL,8,4,49,0,3,37,9.3,12,3,10.1,0,NA,0,0,0,69.3,202101030nyg
Ezekiel Elliott,ElliEz00,receiving,DAL,4,3,19,0,2,-3,-1,22,7.3,-1.3,0,NA,1,25,0,84.4,202101030nyg
Tony Pollard,PollTo00,receiving,DAL,5,3,19,0,1,-4,-1.3,23,7.7,-1.8,0,NA,0,0,0,67.9,202101030nyg
Cedrick Wilson Jr.,WilsCe01,receiving,DAL,1,1,3,0,NA,2,2,1,1,2,0,NA,0,0,0,79.2,202101030nyg
Sterling Shepard,ShepSt00,receiving,NYG,10,8,112,1,6,88,11,24,3,11.2,0,NA,0,0,0,146.7,202101030nyg
Evan Engram,EngrEv00,receiving,NYG,4,2,17,0,1,9,4.5,8,4,10.5,0,NA,2,50,1,21.9,202101030nyg
Dante Pettis,PettDa00,receiving,NYG,2,2,43,1,1,38,19,5,2.5,19,0,NA,0,0,0,158.3,202101030nyg
Darius Slayton,SlayDa01,receiving,NYG,4,2,22,0,2,16,8,6,3,21.5,0,NA,0,0,0,66.7,202101030nyg
Austin Mack,MackAu01,receiving,NYG,1,1,9,0,1,2,2,7,7,2,0,NA,0,0,0,104.2,202101030nyg
Kaden Smith,SmitKa00,receiving,NYG,1,1,16,0,1,1,1,15,15,1,0,NA,0,0,0,118.7,202101030nyg
Levine Toilolo,ToilLe00,receiving,NYG,1,1,10,0,1,7,7,3,3,7,0,NA,0,0,0,108.3,202101030nyg
Dion Lewis,LewiDi00,receiving,NYG,1,0,0,0,0,0,NA,0,NA,-3,0,NA,0,0,0,39.6,202101030nyg
Alfred Morris,MorrAl00,receiving,NYG,1,0,0,0,NA,0,NA,0,NA,2,0,NA,0,0,0,39.6,202101030nyg
