player_name,pfr_player_id,adv_stat_category,team,tgt,rec,receiving_yards,receiving_td,receiving_fd,receiving_yards_before_catch,receiving_yards_before_catch_avg,receiving_yards_after_catch,receiving_yards_after_catch_avg,adot,receiving_broken_tackles,receiving_per_broken_tackle,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,pfr_game_id
Cooper Kupp,KuppCo00,receiving,LAR,9,4,78,0,3,71,17.8,7,1.8,17.9,0,NA,0,0,0,75.2,202101090sea
Robert Woods,WoodRo02,receiving,LAR,8,4,48,1,3,40,10,8,2,5.1,0,NA,1,12.5,0,108.3,202101090sea
Cam Akers,AkerCa00,receiving,LAR,2,2,45,0,1,4,2,41,20.5,2,0,NA,0,0,0,118.7,202101090sea
Malcolm Brown,BrowMa03,receiving,LAR,1,1,9,0,0,3,3,6,6,3,0,NA,0,0,0,104.2,202101090sea
Tyler Higbee,HigbTy00,receiving,LAR,3,1,4,0,NA,4,4,0,0,10,0,NA,0,0,0,42.4,202101090sea
Gerald Everett,EverGe00,receiving,LAR,1,0,0,0,NA,0,NA,0,NA,11,0,NA,0,0,0,39.6,202101090sea
D.K. Metcalf,MetcDK00,receiving,SEA,11,5,96,2,2,76,15.2,20,4,17.8,0,NA,1,9.1,1,78,202101090sea
Tyler Lockett,LockTy00,receiving,SEA,4,2,43,0,2,38,19,5,2.5,21,0,NA,0,0,0,88.5,202101090sea
Chris Carson,CarsCh00,receiving,SEA,2,1,5,0,0,-4,-4,9,9,12.5,0,NA,0,0,0,56.2,202101090sea
Will Dissly,DissWi00,receiving,SEA,2,1,1,0,NA,0,0,1,1,2.5,0,NA,0,0,0,56.2,202101090sea
David Moore,MoorDa03,receiving,SEA,1,1,1,0,NA,-4,-4,5,5,-4,0,NA,0,0,0,79.2,202101090sea
Freddie Swain,SwaiFr00,receiving,SEA,1,1,28,0,1,28,28,0,0,28,0,NA,0,0,0,118.7,202101090sea
Jacob Hollister,HollJa03,receiving,SEA,5,0,0,0,NA,0,NA,0,NA,12.2,0,NA,1,20,0,39.6,202101090sea
