player_name,pfr_player_id,adv_stat_category,team,tgt,rec,receiving_yards,receiving_td,receiving_fd,receiving_yards_before_catch,receiving_yards_before_catch_avg,receiving_yards_after_catch,receiving_yards_after_catch_avg,adot,receiving_broken_tackles,receiving_per_broken_tackle,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,pfr_game_id
Willie Snead,SneaWi00,receiving,BAL,5,5,25,0,NA,14,2.8,11,2.2,2.8,0,NA,0,0,0,87.5,202101160buf
Mark Andrews,AndrMa00,receiving,BAL,11,4,28,0,1,16,4,12,3,6.3,1,4,0,0,1,7,202101160buf
Marquise Brown,BrowMa04,receiving,BAL,7,4,87,0,3,70,17.5,17,4.3,19.4,0,NA,0,0,0,101.5,202101160buf
Miles Boykin,BoykMi00,receiving,BAL,4,3,20,0,NA,15,5,5,1.7,4.5,0,NA,0,0,0,85.4,202101160buf
J.K. Dobbins,DobbJK00,receiving,BAL,5,3,51,0,3,30,10,21,7,8.2,1,3,2,40,0,94.6,202101160buf
Patrick Ricard,RicaPa00,receiving,BAL,1,1,11,0,NA,-1,-1,12,12,-1,0,NA,0,0,0,112.5,202101160buf
Dez Bryant,BryaDe01,receiving,BAL,1,0,0,0,NA,0,NA,0,NA,12,0,NA,0,0,0,39.6,202101160buf
Justice Hill,HillJu00,receiving,BAL,1,0,0,0,NA,0,NA,0,NA,-1,0,NA,0,0,0,39.6,202101160buf
John Brown,BrowJo02,receiving,BUF,11,8,62,0,3,51,6.4,11,1.4,8.7,0,NA,0,0,0,86.2,202101160buf
Stefon Diggs,DiggSt00,receiving,BUF,11,8,106,1,8,64,8,42,5.3,15.2,1,8,0,0,0,133.1,202101160buf
Devin Singletary,SingDe00,receiving,BUF,3,3,12,0,1,-6,-2,18,6,-2,0,NA,0,0,0,83.3,202101160buf
Dawson Knox,KnoxDa00,receiving,BUF,2,2,18,0,1,3,1.5,15,7.5,1.5,0,NA,0,0,0,104.2,202101160buf
Isaiah McKenzie,McKeIs00,receiving,BUF,2,2,8,0,1,-4,-2,12,6,-2,0,NA,0,0,0,83.3,202101160buf
Cole Beasley,BeasCo00,receiving,BUF,2,0,0,0,NA,0,NA,0,NA,3.5,0,NA,1,50,0,39.6,202101160buf
Gabriel Davis,DaviGa01,receiving,BUF,4,0,0,0,NA,0,NA,0,NA,14.8,0,NA,1,25,0,39.6,202101160buf
