player_name,pfr_player_id,adv_stat_category,team,tgt,rec,receiving_yards,receiving_td,receiving_fd,receiving_yards_before_catch,receiving_yards_before_catch_avg,receiving_yards_after_catch,receiving_yards_after_catch_avg,adot,receiving_broken_tackles,receiving_per_broken_tackle,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,pfr_game_id
Leonard Fournette,FourLe00,receiving,TAM,7,5,19,0,1,-2,-0.4,21,4.2,-0.6,0,NA,1,14.3,0,74.1,202101240gnb
Chris Godwin,GodwCh00,receiving,TAM,9,5,110,0,5,76,15.2,34,6.8,16.1,0,NA,1,11.1,0,99.3,202101240gnb
Cameron Brate,BratCa00,receiving,TAM,5,3,19,1,1,18,6,1,0.3,10,0,NA,0,0,0,107.5,202101240gnb
Mike Evans,EvanMi00,receiving,TAM,8,3,51,1,2,43,14.3,8,2.7,20.6,0,NA,1,12.5,3,59.9,202101240gnb
Scott Miller,MillSc01,receiving,TAM,3,2,36,1,1,31,15.5,5,2.5,9.3,0,NA,0,0,0,147.2,202101240gnb
Rob Gronkowski,GronRo00,receiving,TAM,1,1,29,0,1,-5,-5,34,34,-5,0,NA,0,0,0,118.7,202101240gnb
Tyler Johnson,JohnTy00,receiving,TAM,2,1,16,0,1,16,16,0,0,18.5,0,NA,1,50,0,77.1,202101240gnb
Davante Adams,AdamDa01,receiving,GNB,15,9,67,1,5,27,3,40,4.4,5.1,1,9,1,6.7,0,92.9,202101240gnb
Aaron Jones,JoneAa00,receiving,GNB,6,4,7,0,1,-2,-0.5,9,2.3,0.5,0,NA,1,16.7,0,70.1,202101240gnb
Robert Tonyan,TonyRo00,receiving,GNB,4,4,22,1,2,9,2.3,13,3.3,2.3,0,NA,0,0,0,129.2,202101240gnb
Marquez Valdes-Scantling,ValdMa00,receiving,GNB,6,4,115,1,4,79,19.8,36,9,22.2,0,NA,0,0,0,149.3,202101240gnb
Jamaal Williams,WillJa06,receiving,GNB,4,4,22,0,1,-4,-1,26,6.5,-1,0,NA,0,0,0,89.6,202101240gnb
Allen Lazard,LazaAl00,receiving,GNB,6,3,62,0,3,40,13.3,22,7.3,12,1,3,0,0,1,47.2,202101240gnb
Marcedes Lewis,LewiMa00,receiving,GNB,3,3,28,0,1,12,4,16,5.3,4,0,NA,0,0,0,105.6,202101240gnb
AJ Dillon,DillAJ00,receiving,GNB,1,1,13,0,1,2,2,11,11,2,0,NA,0,0,0,118.7,202101240gnb
Equanimeous St. Brown,St.BEq00,receiving,GNB,1,1,10,0,1,5,5,5,5,5,0,NA,0,0,0,108.3,202101240gnb
