player_name,pfr_player_id,adv_stat_category,team,tgt,rec,receiving_yards,receiving_td,receiving_fd,receiving_yards_before_catch,receiving_yards_before_catch_avg,receiving_yards_after_catch,receiving_yards_after_catch_avg,adot,receiving_broken_tackles,receiving_per_broken_tackle,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,pfr_game_id
Travis Kelce,KelcTr00,receiving,KAN,15,10,133,0,6,93,9.3,40,4,9.8,1,10,1,6.7,1,66.8,202102070tam
Tyreek Hill,HillTy00,receiving,KAN,10,7,73,0,3,32,4.6,41,5.9,10.8,0,NA,1,10,1,51.2,202102070tam
Darrel Williams,WillDa10,receiving,KAN,7,2,10,0,NA,-10,-5,20,10,0,1,2,2,28.6,0,39.6,202102070tam
Mecole Hardman,HardMe00,receiving,KAN,6,2,4,0,NA,-5,-2.5,9,4.5,8.8,0,NA,0,0,0,42.4,202102070tam
Clyde Edwards-Helaire,EdwaCl00,receiving,KAN,3,2,23,0,1,0,0,23,11.5,2.7,0,NA,0,0,0,89.6,202102070tam
Byron Pringle,PrinBy00,receiving,KAN,2,1,3,0,NA,2,2,1,1,6.5,0,NA,0,0,0,56.2,202102070tam
Demarcus Robinson,RobiDe01,receiving,KAN,2,1,11,0,1,7,7,4,4,9,0,NA,1,50,0,66.7,202102070tam
Sammy Watkins,WatkSa00,receiving,KAN,1,1,13,0,1,12,12,1,1,12,0,NA,0,0,0,118.7,202102070tam
Rob Gronkowski,GronRo00,receiving,TAM,7,6,67,2,4,32,5.3,35,5.8,8.3,0,NA,0,0,0,146.1,202102070tam
Antonio Brown,BrowAn04,receiving,TAM,6,5,22,1,2,13,2.6,9,1.8,9,0,NA,0,0,0,121.5,202102070tam
Leonard Fournette,FourLe00,receiving,TAM,4,4,46,0,3,11,2.8,35,8.8,2.8,0,NA,0,0,0,114.6,202102070tam
Cameron Brate,BratCa00,receiving,TAM,3,3,26,0,2,2,0.7,24,8,0.7,0,NA,0,0,0,102.8,202102070tam
Chris Godwin,GodwCh00,receiving,TAM,4,2,9,0,NA,-3,-1.5,12,6,3,0,NA,1,25,0,56.2,202102070tam
Mike Evans,EvanMi00,receiving,TAM,1,1,31,0,1,17,17,14,14,17,0,NA,0,0,0,118.7,202102070tam
Joe Haeg,HaegJo00,receiving,TAM,1,0,0,0,NA,0,NA,0,NA,2,0,NA,0,0,0,39.6,202102070tam
Tanner Hudson,HudsTa00,receiving,TAM,1,0,0,0,NA,0,NA,0,NA,19,0,NA,0,0,0,39.6,202102070tam
Tyler Johnson,JohnTy00,receiving,TAM,1,0,0,0,NA,0,NA,0,NA,6,0,NA,1,100,0,39.6,202102070tam
Ronald Jones II,JoneRo01,receiving,TAM,1,0,0,0,0,0,NA,0,NA,-5,0,NA,1,100,0,39.6,202102070tam
