player_name,pfr_player_id,adv_stat_category,team,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct,pfr_game_id
Azeez Al-Shaair,AlShAz00,defense,SFO,0,13,7,53.8%,53,7.6,4.1,1,89.6,1,-7,60,0,0,0,0,0,7,2,22.2%,202109120det
Fred Warner,WarnFr00,defense,SFO,0,6,6,100.0%,57,9.5,9.5,0,106.2,4,24,33,1,0,0,0,0,11,0,0.0%,202109120det
Dre Greenlaw,GreeDr00,defense,SFO,1,6,5,83.3%,27,5.4,4.5,0,45.8,2,5,22,0,0,0,0,0,6,1,14.3%,202109120det
Dontae Johnson,JohnDo02,defense,SFO,0,6,3,50.0%,25,8.3,4.2,1,100.7,13.3,25,0,0,0,0,0,0,3,0,0.0%,202109120det
Jaquiski Tartt,TartJa00,defense,SFO,0,4,3,75.0%,17,5.7,4.3,1,121.9,5.5,15,2,0,0,0,0,0,7,0,0.0%,202109120det
Demetrius Flannigan-Fowles,FlanDe00,defense,SFO,0,4,3,75.0%,21,7,5.3,0,86.5,1.3,4,17,0,0,0,0,0,3,1,25.0%,202109120det
Ambry Thomas,ThomAm00,defense,SFO,0,3,3,100.0%,44,14.7,14.7,0,118.7,13,39,5,0,0,0,0,0,2,0,0.0%,202109120det
Jimmie Ward,WardJi01,defense,SFO,0,2,2,100.0%,47,23.5,23.5,0,118.7,13,26,21,0,0,0,0,0,6,0,0.0%,202109120det
Jason Verrett,VerrJa00,defense,SFO,0,5,2,40.0%,24,12,4.8,0,55.4,9.8,18,6,0,0,0,0,0,5,0,0.0%,202109120det
K'Waun Williams,WillKW00,defense,SFO,0,3,1,33.3%,11,11,3.7,0,45.1,7.7,0,11,2,0,1,0,1,3,1,25.0%,202109120det
Marcell Harris,HarrMa03,defense,SFO,0,1,1,100.0%,9,9,9,0,104.2,-4,-4,13,0,0,0,0,0,2,0,0.0%,202109120det
Deommodore Lenoir,LenoDe00,defense,SFO,0,3,1,33.3%,3,3,1,0,42.4,16.7,3,0,0,0,0,0,0,3,0,0.0%,202109120det
Nick Bosa,BosaNi00,defense,SFO,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3,4,0,0.0%,202109120det
Kentavius Street,StreKe00,defense,SFO,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,2,3,0,0.0%,202109120det
Dee Ford,FordDe00,defense,SFO,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,2,1,0,0.0%,202109120det
Arik Armstead,ArmsAr01,defense,SFO,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,0,0.0%,202109120det
Samson Ebukam,EbukSa00,defense,SFO,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,5,0,0.0%,202109120det
Amani Oruwariye,OruwAm00,defense,DET,0,7,4,57.1%,59,14.8,8.4,1,124.4,9.1,41,18,0,0,0,0,0,1,0,0.0%,202109120det
Will Harris,HarrWi02,defense,DET,0,4,4,100.0%,45,11.3,11.3,0,113.5,4.8,19,26,1,0,0,0,0,7,1,12.5%,202109120det
Tracy Walker,WalkTr01,defense,DET,0,4,3,75.0%,66,22,16.5,0,116.7,10.5,38,28,3,0,0,1,1,7,1,12.5%,202109120det
Jeff Okudah,OkudJe00,defense,DET,0,4,3,75.0%,109,36.3,27.3,1,156.2,11,34,75,0,0,0,0,0,4,0,0.0%,202109120det
Jamie Collins,CollJa00,defense,DET,0,1,1,100.0%,15,15,15,0,118.7,0,0,15,1,0,1,0,1,5,1,16.7%,202109120det
Trey Flowers,FlowTr00,defense,DET,0,1,1,100.0%,11,11,11,0,112.5,6,6,5,1,0,0,0,0,4,0,0.0%,202109120det
Ifeatu Melifonwu,MeliIf00,defense,DET,0,1,1,100.0%,12,12,12,0,116.7,-5,-5,17,0,0,0,0,0,0,1,100.0%,202109120det
Alex Anzalone,AnzaAl00,defense,DET,0,1,1,100.0%,2,2,2,0,79.2,-4,-4,6,2,0,0,0,0,4,0,0.0%,202109120det
Romeo Okwara,OkwaRo01,defense,DET,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,0,3,1,0,0.0%,202109120det
Nick Williams,WillNi01,defense,DET,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,0,0.0%,202109120det
