player_name,pfr_player_id,adv_stat_category,team,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct,pfr_game_id
Xavien Howard,HowaXa00,defense,MIA,0,6,5,83.3%,31,6.2,5.2,0,88.2,2.7,15,16,1,0,0,0,0,5,0,0.0%,202109120nwe
Jerome Baker,BakeJe00,defense,MIA,0,6,5,83.3%,57,11.4,9.5,0,106.2,6.3,35,22,4,0,0,0,0,12,0,0.0%,202109120nwe
Eric Rowe,RoweEr00,defense,MIA,0,7,5,71.4%,43,8.6,6.1,0,87.2,6.4,22,21,1,0,0,0,0,9,1,10.0%,202109120nwe
Byron Jones,JoneBy00,defense,MIA,0,5,3,60.0%,26,8.7,5.2,1,113.3,5.8,19,7,0,0,0,0,0,6,0,0.0%,202109120nwe
Jason McCourty,McCoJa99,defense,MIA,0,4,3,75.0%,33,11,8.3,0,99,14.3,29,4,2,0,0,0,0,5,0,0.0%,202109120nwe
Andrew Van Ginkel,VanGAn00,defense,MIA,0,2,2,100.0%,19,9.5,9.5,0,106.2,1.5,3,16,3,1,1,0,2,5,2,28.6%,202109120nwe
Nik Needham,NeedNi00,defense,MIA,0,3,2,66.7%,9,4.5,3,0,70.1,3,7,2,3,0,0,0,0,6,0,0.0%,202109120nwe
Samuel Eguavoen,EguaSa00,defense,MIA,0,1,1,100.0%,17,17,17,0,118.7,6,6,11,3,0,3,0,3,6,1,14.3%,202109120nwe
Brennan Scarlett,ScarBr00,defense,MIA,0,1,1,100.0%,8,8,8,0,100,5,5,3,1,0,1,0,1,5,0,0.0%,202109120nwe
Justin Coleman,ColeJu01,defense,MIA,0,1,1,100.0%,22,22,22,0,118.7,9,9,13,0,0,0,0,0,0,0,NA,202109120nwe
Brandon Jones,JoneBr06,defense,MIA,0,1,1,100.0%,16,16,16,0,118.7,12,12,4,0,0,0,0,0,2,1,33.3%,202109120nwe
Emmanuel Ogbah,OgbaEm00,defense,MIA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,2,3,0,0.0%,202109120nwe
Christian Wilkins,WilkCh00,defense,MIA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,3,0,0.0%,202109120nwe
Elandon Roberts,RobeEl00,defense,MIA,0,1,0,0.0%,NA,NA,0,NA,39.6,4,NA,NA,2,0,1,0,1,2,1,33.3%,202109120nwe
Jaelan Phillips,PhilJa02,defense,MIA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,1,0,0,NA,202109120nwe
Duke Riley,RileDu00,defense,MIA,0,1,0,0.0%,NA,NA,0,NA,39.6,NA,NA,NA,0,0,0,0,0,0,0,NA,202109120nwe
Mack Hollins,HollMa00,defense,MIA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2,1,33.3%,202109120nwe
J.C. Jackson,JackJ.00,defense,NWE,0,8,5,62.5%,77,15.4,9.6,0,94.3,9.5,43,34,0,0,0,0,0,3,2,40.0%,202109120nwe
Jalen Mills,MillJa02,defense,NWE,0,3,2,66.7%,18,9,6,0,82.6,10,7,11,0,0,0,0,0,2,1,33.3%,202109120nwe
Jonathan Jones,JoneJo03,defense,NWE,1,4,2,50.0%,54,27,13.5,0,56.2,11.5,26,28,0,0,0,0,0,0,0,NA,202109120nwe
Kyle Van Noy,VanNKy00,defense,NWE,0,1,1,100.0%,4,4,4,0,83.3,4,4,0,3,1,0,1,2,3,0,0.0%,202109120nwe
Matt Judon,JudoMa00,defense,NWE,0,1,1,100.0%,3,3,3,0,79.2,0,0,3,5,0,1,0,1,4,0,0.0%,202109120nwe
Adrian Phillips,PhilAd00,defense,NWE,0,4,1,25.0%,-2,-2,-0.5,0,39.6,8,-4,2,1,1,0,0,1,3,0,0.0%,202109120nwe
Dont'a Hightower,HighDo01,defense,NWE,0,1,1,100.0%,10,10,10,0,108.3,3,3,7,3,0,0,0,0,4,0,0.0%,202109120nwe
Kyle Dugger,DuggKy00,defense,NWE,0,2,1,50.0%,3,3,1.5,1,95.8,6.5,0,3,0,0,0,0,0,7,1,12.5%,202109120nwe
Ja'Whaun Bentley,BentJa00,defense,NWE,0,2,1,50.0%,12,12,6,0,68.7,17.5,2,10,0,0,0,0,0,4,1,20.0%,202109120nwe
Joejuan Williams,WillJo13,defense,NWE,0,1,1,100.0%,23,23,23,0,118.7,12,12,11,0,0,0,0,0,1,0,0.0%,202109120nwe
Josh Uche,UcheJo00,defense,NWE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,1,1,1,0,0.0%,202109120nwe
Davon Godchaux,GodcDa00,defense,NWE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,3,1,25.0%,202109120nwe
Lawrence Guy,GuyxLa00,defense,NWE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,4,0,0.0%,202109120nwe
