player_name,pfr_player_id,adv_stat_category,team,tgt,rec,receiving_yards,receiving_td,receiving_fd,receiving_yards_before_catch,receiving_yards_before_catch_avg,receiving_yards_after_catch,receiving_yards_after_catch_avg,adot,receiving_broken_tackles,receiving_per_broken_tackle,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,pfr_game_id
DeAndre Hopkins,HopkDe00,receiving,ARI,8,6,83,2,4,58,9.7,25,4.2,11.3,0,NA,0,0,0,147.4,202109120oti
Christian Kirk,KirkCh01,receiving,ARI,5,5,70,2,3,60,12,10,2,12,0,NA,0,0,0,158.3,202109120oti
Chase Edmonds,EdmoCh00,receiving,ARI,4,4,43,0,1,-12,-3,55,13.8,-3,0,NA,0,0,0,111.5,202109120oti
Rondale Moore,MoorRo02,receiving,ARI,5,4,68,0,4,8,2,60,15,4.8,1,4,0,0,0,118.7,202109120oti
A.J. Green,GreeA.00,receiving,ARI,6,2,25,0,1,24,12,1,0.5,8.8,0,NA,1,16.7,0,47.2,202109120oti
Demetrius Harris,HarrDe03,receiving,ARI,3,0,0,0,NA,0,NA,0,NA,8.3,0,NA,0,0,1,0,202109120oti
Maxx Williams,WillMa04,receiving,ARI,1,0,0,0,NA,0,NA,0,NA,22,0,NA,0,0,0,39.6,202109120oti
A.J. Brown,BrowAJ00,receiving,TEN,8,4,49,1,4,39,9.8,10,2.5,10.4,0,NA,0,0,0,108.9,202109120oti
Chester Rogers,RogeCh02,receiving,TEN,6,4,62,0,2,41,10.3,21,5.3,10.2,0,NA,0,0,0,100.7,202109120oti
Anthony Firkser,FirkAn00,receiving,TEN,4,3,19,0,2,14,4.7,5,1.7,4.3,0,NA,0,0,0,84.4,202109120oti
Derrick Henry,HenrDe00,receiving,TEN,4,3,19,0,0,2,0.7,17,5.7,1.5,0,NA,0,0,0,84.4,202109120oti
Julio Jones,JoneJu02,receiving,TEN,6,3,29,0,2,19,6.3,10,3.3,11,1,3,0,0,1,24.3,202109120oti
Jeremy McNichols,McNiJe00,receiving,TEN,4,3,24,0,NA,11,3.7,13,4.3,2.5,0,NA,0,0,0,89.6,202109120oti
Amani Hooker,HookAm00,receiving,TEN,1,1,6,0,1,4,4,2,2,4,0,NA,0,0,0,91.7,202109120oti
Nick Westbrook-Ikhine,WestNi00,receiving,TEN,2,1,10,0,1,7,7,3,3,8,0,NA,0,0,0,64.6,202109120oti
Geoff Swaim,SwaiGe00,receiving,TEN,1,0,0,0,NA,0,NA,0,NA,11,0,NA,0,0,0,39.6,202109120oti
