player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Darrell Henderson,HendDa00,rushing,LAR,13,53,4,33,2.5,20,1.5,0,NA,202109190clt
Sony Michel,MichSo00,rushing,LAR,10,46,2,33,3.3,13,1.3,1,10,202109190clt
Matthew Stafford,StafMa00,rushing,LAR,2,1,0,1,0.5,0,0,0,NA,202109190clt
Robert Woods,WoodRo02,rushing,LAR,2,6,0,3,1.5,3,1.5,0,NA,202109190clt
Johnny Hekker,HekkJo00,rushing,LAR,1,0,NA,0,0,0,0,0,NA,202109190clt
Cooper Kupp,KuppCo00,rushing,LAR,1,-5,0,-5,-5,0,0,0,NA,202109190clt
Jonathan Taylor,TaylJo02,rushing,IND,15,51,4,39,2.6,12,0.8,0,NA,202109190clt
Marlon Mack,MackMa00,rushing,IND,5,16,1,9,1.8,7,1.4,0,NA,202109190clt
Carson Wentz,WentCa00,rushing,IND,5,37,2,36,7.2,1,0.2,0,NA,202109190clt
Nyheim Hines,HineNy00,rushing,IND,1,5,1,3,3,2,2,0,NA,202109190clt
