player_name,pfr_player_id,adv_stat_category,team,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct,pfr_game_id
Janoris Jenkins,JenkJa03,defense,TEN,0,10,6,60.0%,53,8.8,5.3,0,74.2,7.2,36,17,0,0,0,0,0,6,0,0.0%,202109190sea
Kristian Fulton,FultKr00,defense,TEN,0,8,4,50.0%,84,21,10.5,1,127.1,12.9,43,41,1,0,0,0,0,1,0,0.0%,202109190sea
Chris Jackson,JackCh01,defense,TEN,0,3,3,100.0%,14,4.7,4.7,0,86.1,0,0,14,2,1,0,0,1,6,0,0.0%,202109190sea
David Long,LongDa04,defense,TEN,0,3,3,100.0%,27,9,9,0,104.2,3.7,11,16,3,0,0,0,0,6,1,14.3%,202109190sea
Harold Landry,LandHa00,defense,TEN,0,2,2,100.0%,34,17,17,0,118.7,3,6,28,2,3,0,0,3,7,0,0.0%,202109190sea
Kevin Byard,ByarKe01,defense,TEN,0,1,1,100.0%,3,3,3,0,79.2,3,3,0,1,0,1,0,1,3,0,0.0%,202109190sea
Elijah Molden,MoldEl00,defense,TEN,0,1,1,100.0%,63,63,63,1,158.3,29,29,34,0,0,0,0,0,2,1,33.3%,202109190sea
Bradley McDougald,McDoBr01,defense,TEN,0,1,1,100.0%,51,51,51,0,118.7,51,51,0,0,0,0,0,0,2,0,0.0%,202109190sea
Rashaan Evans,EvanRa01,defense,TEN,0,1,1,100.0%,14,14,14,0,118.7,5,5,9,0,0,0,0,0,4,1,20.0%,202109190sea
Denico Autry,AutrDe00,defense,TEN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,1.5,4,3,2,40.0%,202109190sea
Bud Dupree,DuprAl00,defense,TEN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,0,0.0%,202109190sea
Jeffery Simmons,SimmJe01,defense,TEN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.5,1,1,2,66.7%,202109190sea
Olasunkanmi Adeniyi,AdenOl00,defense,TEN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,3,0,0.0%,202109190sea
Dane Cruikshank,CruiDa00,defense,TEN,0,1,0,0.0%,NA,NA,0,NA,39.6,30,NA,NA,0,0,0,0,0,3,0,0.0%,202109190sea
Bobby Wagner,WagnBo00,defense,SEA,0,12,10,83.3%,93,9.3,7.8,0,99,5.5,51,42,3,0,1,1,2,20,0,0.0%,202109190sea
Tre Flowers,FlowTr01,defense,SEA,0,6,4,66.7%,102,25.5,17,0,109.7,20.5,88,14,0,0,0,0,0,5,1,16.7%,202109190sea
Jamal Adams,AdamJa00,defense,SEA,0,4,3,75.0%,14,4.7,3.5,0,79.2,6,13,1,7,0,0,0,0,8,0,0.0%,202109190sea
D.J. Reed,ReedD.00,defense,SEA,0,5,3,60.0%,35,11.7,7,0,81.2,18.8,32,3,0,0,0,0,0,9,0,0.0%,202109190sea
Jordyn Brooks,BrooJo01,defense,SEA,0,3,2,66.7%,24,12,8,0,91,4,6,18,1,0,0,0,0,9,0,0.0%,202109190sea
Quandre Diggs,DiggQu00,defense,SEA,0,3,2,66.7%,37,18.5,12.3,0,109,16,33,4,0,0,0,0,0,10,1,9.1%,202109190sea
Benson Mayowa,MayoBe00,defense,SEA,0,1,1,100.0%,15,15,15,0,118.7,-2,-2,17,0,0,0,0,0,3,0,0.0%,202109190sea
Rasheem Green,GreeRa01,defense,SEA,0,1,1,100.0%,15,15,15,0,118.7,3,3,12,0,0,0,0,0,2,0,0.0%,202109190sea
Cody Barton,BartCo00,defense,SEA,0,1,1,100.0%,12,12,12,0,116.7,12,12,0,0,0,0,0,0,3,0,0.0%,202109190sea
Kerry Hyder,HydeKe01,defense,SEA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,2,4,0,0.0%,202109190sea
Al Woods,WoodAl99,defense,SEA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,2,7,0,0.0%,202109190sea
L.J. Collier,CollLJ00,defense,SEA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,0,0.0%,202109190sea
Poona Ford,FordPo00,defense,SEA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,4,0,0.0%,202109190sea
Alton Robinson,RobiAl03,defense,SEA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,0,0.0%,202109190sea
Ugo Amadi,AmadUg00,defense,SEA,0,2,0,0.0%,NA,NA,0,NA,39.6,9.5,NA,NA,0,0,0,0,0,2,0,0.0%,202109190sea
Marquise Blair,BlaiMa01,defense,SEA,0,1,0,0.0%,NA,NA,0,NA,39.6,7,NA,NA,0,0,0,0,0,0,1,100.0%,202109190sea
DeeJay Dallas,DallDe00,defense,SEA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2,1,33.3%,202109190sea
Darrell Taylor,TaylDa00,defense,SEA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0.0%,202109190sea
