player_name,pfr_player_id,adv_stat_category,team,tgt,rec,receiving_yards,receiving_td,receiving_fd,receiving_yards_before_catch,receiving_yards_before_catch_avg,receiving_yards_after_catch,receiving_yards_after_catch_avg,adot,receiving_broken_tackles,receiving_per_broken_tackle,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,pfr_game_id
Mark Andrews,AndrMa00,receiving,BAL,8,5,67,0,5,60,12,7,1.4,8.6,0,NA,0,0,0,89.1,202110030den
James Proche,ProcJa00,receiving,BAL,6,5,74,0,3,35,7,39,7.8,8,0,NA,0,0,0,118.1,202110030den
Marquise Brown,BrowMa04,receiving,BAL,5,4,91,1,2,64,16,27,6.8,19.2,0,NA,0,0,0,158.3,202110030den
Sammy Watkins,WatkSa00,receiving,BAL,7,4,49,0,3,38,9.5,11,2.8,13.7,0,NA,1,14.3,0,78.9,202110030den
Devin Duvernay,DuveDe00,receiving,BAL,6,3,31,0,1,16,5.3,15,5,12.3,0,NA,0,0,0,65.3,202110030den
Patrick Ricard,RicaPa00,receiving,BAL,1,1,4,0,NA,4,4,0,0,4,0,NA,0,0,0,83.3,202110030den
Le'Veon Bell,BellLe00,receiving,BAL,1,0,0,0,NA,0,NA,0,NA,-2,0,NA,0,0,0,39.6,202110030den
Josh Oliver,OlivJo00,receiving,BAL,1,0,0,0,NA,0,NA,0,NA,19,0,NA,0,0,0,39.6,202110030den
Noah Fant,FantNo00,receiving,DEN,10,6,46,1,3,13,2.2,33,5.5,5.3,0,NA,0,0,0,104.6,202110030den
Tim Patrick,PatrTi00,receiving,DEN,6,3,39,0,2,22,7.3,17,5.7,12.3,0,NA,0,0,0,70.8,202110030den
Courtland Sutton,SuttCo00,receiving,DEN,8,3,47,0,2,31,10.3,16,5.3,19.8,0,NA,0,0,1,18.2,202110030den
Javonte Williams,WillJa10,receiving,DEN,3,3,11,0,0,5,1.7,6,2,1.7,0,NA,0,0,0,81.9,202110030den
Melvin Gordon,GordMe00,receiving,DEN,4,2,11,0,0,-4,-2,15,7.5,-0.8,2,1,0,0,0,56.2,202110030den
Kendall Hinton,HintKe00,receiving,DEN,3,1,13,0,1,4,4,9,9,8.7,0,NA,1,33.3,0,47.9,202110030den
Albert Okwuegbunam,OkwuAl00,receiving,DEN,2,1,11,0,1,8,8,3,3,21,0,NA,0,0,0,66.7,202110030den
Diontae Spencer,SpenDi00,receiving,DEN,1,0,0,0,NA,0,NA,0,NA,0,0,NA,0,0,0,39.6,202110030den
