player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Damien Harris,HarrDa06,rushing,NWE,14,58,2,15,1.1,43,3.1,0,NA,202110100htx
Rhamondre Stevenson,StevRh00,rushing,NWE,11,23,1,7,0.6,16,1.5,0,NA,202110100htx
Brandon Bolden,BoldBr00,rushing,NWE,2,25,1,19,9.5,6,3,0,NA,202110100htx
Kendrick Bourne,BourKe00,rushing,NWE,1,12,1,0,0,12,12,0,NA,202110100htx
Mac Jones,JoneMa05,rushing,NWE,1,3,1,1,1,2,2,0,NA,202110100htx
Jonnu Smith,SmitJo01,rushing,NWE,1,5,0,0,0,5,5,0,NA,202110100htx
Mark Ingram,IngrMa01,rushing,HOU,16,41,1,16,1,25,1.6,0,NA,202110100htx
Phillip Lindsay,LindPh00,rushing,HOU,5,19,NA,13,2.6,6,1.2,0,NA,202110100htx
David Johnson,JohnDa08,rushing,HOU,2,5,0,2,1,3,1.5,0,NA,202110100htx
Davis Mills,MillDa02,rushing,HOU,1,2,1,1,1,1,1,0,NA,202110100htx
