player_name,pfr_player_id,adv_stat_category,team,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct,pfr_game_id
Rashad Smith,SmitRa02,defense,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,0,NA,0,NA,202110240tam
Jaylon Johnson,JohnJa13,defense,CHI,0,8,4,50.0%,69,17.3,8.6,2,119.3,14,49,20,0,0,0,0,0,2,0,0.0%,202110240tam
Roquan Smith,SmitRo07,defense,CHI,0,7,4,57.1%,5,1.3,0.7,0,62.2,1.7,-4,9,4,0,0,0,0,13,1,7.1%,202110240tam
Duke Shelley,ShelDu00,defense,CHI,0,5,4,80.0%,31,7.8,6.2,0,92.5,4.4,8,23,0,0,0,0,0,3,1,25.0%,202110240tam
DeAndre Houston-Carson,HousDe00,defense,CHI,0,5,3,60.0%,28,9.3,5.6,1,115,7,23,5,0,0,0,0,0,11,2,15.4%,202110240tam
Kindle Vildor,VildKi00,defense,CHI,0,6,3,50.0%,44,14.7,7.3,1,113.9,4.8,20,24,0,0,0,0,0,3,0,0.0%,202110240tam
Alec Ogletree,OgleAl00,defense,CHI,0,1,1,100.0%,9,9,9,0,104.2,6,6,3,1,0,0,0,0,4,2,33.3%,202110240tam
Danny Trevathan,TrevDa00,defense,CHI,0,1,1,100.0%,4,4,4,1,122.9,4,4,0,0,0,0,0,0,2,0,0.0%,202110240tam
Marqui Christian,ChriMa00,defense,CHI,0,1,1,100.0%,34,34,34,0,118.7,20,20,14,0,0,0,0,0,1,0,0.0%,202110240tam
Eddie Jackson,JackEd01,defense,CHI,0,5,1,20.0%,11,11,2.2,0,39.6,9.2,11,0,1,0,0,0,0,11,2,15.4%,202110240tam
Mario Edwards,EdwaMa01,defense,CHI,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,0,0.0%,202110240tam
Khalil Mack,MackKh00,defense,CHI,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,0,0,1,1,0,0.0%,202110240tam
Trevis Gipson,GipsTr00,defense,CHI,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,0,1,0,0.0%,202110240tam
Teez Tabor,TaboTe00,defense,CHI,0,1,0,0.0%,NA,NA,0,NA,39.6,9,NA,NA,0,0,0,0,0,0,0,NA,202110240tam
Eddie Goldman,GoldEd00,defense,CHI,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,100.0%,202110240tam
Dee Delaney,DelaDe00,defense,TAM,1,8,6,75.0%,58,9.7,7.3,0,55.2,10,49,9,0,0,0,0,0,5,2,28.6%,202110240tam
Ross Cockrell,CockRo00,defense,TAM,0,3,3,100.0%,34,11.3,11.3,0,113.9,-2,-6,40,6,2,0,0,2,5,0,0.0%,202110240tam
Devin White,WhitDe02,defense,TAM,0,3,3,100.0%,29,9.7,9.7,0,106.9,2.7,8,21,6,0,1,0,1,10,1,9.1%,202110240tam
Jamel Dean,DeanJa00,defense,TAM,0,6,3,50.0%,13,4.3,2.2,0,56.2,5.7,12,1,0,0,0,0,0,7,1,12.5%,202110240tam
Grant Stuard,StuaGr00,defense,TAM,0,2,2,100.0%,9,4.5,4.5,0,85.4,3,6,3,1,0,0,0,0,2,0,0.0%,202110240tam
Jason Pierre-Paul,PierJa99,defense,TAM,0,1,1,100.0%,6,6,6,0,91.7,1,1,5,10,1,0,2,3,4,0,0.0%,202110240tam
Antoine Winfield Jr.,WinfAn00,defense,TAM,0,1,1,100.0%,22,22,22,0,118.7,13,13,9,2,0,0,1,1,3,2,40.0%,202110240tam
K.J. Britt,BritKJ00,defense,TAM,0,1,1,100.0%,8,8,8,0,100,3,3,5,1,0,0,0,0,2,2,50.0%,202110240tam
Joe Tryon-Shoyinka,TryoJo00,defense,TAM,0,1,1,100.0%,11,11,11,0,112.5,-6,-6,17,5,0,0,0,0,1,1,50.0%,202110240tam
Vita Vea,VeaxVi00,defense,TAM,0,1,1,100.0%,-6,-6,-6,0,79.2,-6,-6,0,0,0,0,0,0,3,0,0.0%,202110240tam
Kevin Minter,MintKe00,defense,TAM,0,2,0,0.0%,NA,NA,0,NA,39.6,8.5,NA,NA,7,0,1,0,1,5,1,16.7%,202110240tam
Shaquil Barrett,BarrSh00,defense,TAM,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,0,1,1,3,0,0.0%,202110240tam
William Gholston,GholWi00,defense,TAM,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,100.0%,202110240tam
Andrew Adams,AdamAn00,defense,TAM,0,1,0,0.0%,NA,NA,0,NA,39.6,16,NA,NA,0,0,0,0,0,3,0,0.0%,202110240tam
Pierre Desir,DesiPi00,defense,TAM,1,1,0,0.0%,NA,NA,0,NA,0,36,NA,NA,0,0,0,0,0,2,0,0.0%,202110240tam
Jordan Whitehead,WhitJo03,defense,TAM,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,2,0,0.0%,202110240tam
Anthony Nelson,NelsAn01,defense,TAM,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,2,0,0.0%,202110240tam
