player_name,pfr_player_id,adv_stat_category,team,tgt,rec,receiving_yards,receiving_td,receiving_fd,receiving_yards_before_catch,receiving_yards_before_catch_avg,receiving_yards_after_catch,receiving_yards_after_catch_avg,adot,receiving_broken_tackles,receiving_per_broken_tackle,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,pfr_game_id
Brandin Cooks,CookBr00,receiving,HOU,14,6,56,0,4,42,7,14,2.3,8.5,1,6,0,0,1,24.7,202111070mia
Danny Amendola,AmenDa00,receiving,HOU,7,3,49,0,1,13,4.3,36,12,12.7,0,NA,0,0,1,27.4,202111070mia
Nico Collins,CollNi00,receiving,HOU,3,3,25,0,2,13,4.3,12,4,5,0,NA,0,0,0,101.4,202111070mia
David Johnson,JohnDa08,receiving,HOU,5,3,29,0,1,7,2.3,22,7.3,4.8,0,NA,1,20,0,76.2,202111070mia
Antony Auclair,AuclAn00,receiving,HOU,2,2,23,0,1,11,5.5,12,6,5.5,0,NA,0,0,0,114.6,202111070mia
Chris Conley,ConlCh00,receiving,HOU,3,2,38,0,2,7,3.5,31,15.5,5.7,0,NA,1,33.3,0,109.7,202111070mia
Jordan Akins,AkinJo00,receiving,HOU,3,2,7,0,NA,8,4,-1,-0.5,7,0,NA,0,0,0,70.1,202111070mia
Brevin Jordan,JordBr00,receiving,HOU,2,2,9,0,NA,4,2,5,2.5,2,0,NA,0,0,0,85.4,202111070mia
Chris Moore,MoorCh00,receiving,HOU,1,1,4,0,NA,1,1,3,3,1,0,NA,0,0,0,83.3,202111070mia
Jaylen Waddle,WaddJa00,receiving,MIA,10,8,83,0,5,64,8,19,2.4,10.3,0,NA,0,0,2,61.7,202111070mia
Myles Gaskin,GaskMy00,receiving,MIA,6,6,23,0,2,-3,-0.5,26,4.3,-0.5,2,3,0,0,0,82.6,202111070mia
Mike Gesicki,GesiMi00,receiving,MIA,8,4,54,0,3,51,12.8,3,0.8,12.3,0,NA,0,0,0,71.9,202111070mia
Mack Hollins,HollMa00,receiving,MIA,6,3,22,1,2,20,6.7,2,0.7,14,0,NA,1,16.7,0,98.6,202111070mia
Durham Smythe,SmytDu00,receiving,MIA,2,2,27,0,1,18,9,9,4.5,9,0,NA,0,0,0,118.7,202111070mia
Kirk Merritt,MerrKi00,receiving,MIA,3,1,13,0,1,7,7,6,6,18.7,0,NA,1,33.3,0,47.9,202111070mia
Adam Shaheen,ShahAd00,receiving,MIA,2,1,11,0,1,3,3,8,8,4,0,NA,1,50,0,66.7,202111070mia
Albert Wilson,WilsAl02,receiving,MIA,2,1,11,0,1,6,6,5,5,7.5,0,NA,1,50,0,66.7,202111070mia
Isaiah Ford,FordIs00,receiving,MIA,1,0,0,0,NA,0,NA,0,NA,0,0,NA,0,0,0,39.6,202111070mia
