player_name,pfr_player_id,adv_stat_category,team,tgt,rec,receiving_yards,receiving_td,receiving_fd,receiving_yards_before_catch,receiving_yards_before_catch_avg,receiving_yards_after_catch,receiving_yards_after_catch_avg,adot,receiving_broken_tackles,receiving_per_broken_tackle,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,pfr_game_id
A.J. Brown,BrowAJ00,receiving,TEN,11,5,42,0,3,29,5.8,13,2.6,7.6,1,5,2,18.2,1,18,202111070ram
Julio Jones,JoneJu02,receiving,TEN,4,4,35,0,2,14,3.5,21,5.3,3.5,1,4,0,0,0,103.1,202111070ram
Geoff Swaim,SwaiGe00,receiving,TEN,4,4,29,1,3,4,1,25,6.3,1,0,NA,0,0,0,136.5,202111070ram
Jeremy McNichols,McNiJe00,receiving,TEN,3,3,11,0,NA,-10,-3.3,21,7,-3.3,0,NA,0,0,0,81.9,202111070ram
Anthony Firkser,FirkAn00,receiving,TEN,1,1,7,0,NA,-1,-1,8,8,-1,0,NA,0,0,0,95.8,202111070ram
Adrian Peterson,PeteAd01,receiving,TEN,1,1,5,0,0,-4,-4,9,9,-4,0,NA,0,0,0,87.5,202111070ram
Nick Westbrook-Ikhine,WestNi00,receiving,TEN,1,1,14,0,1,8,8,6,6,8,0,NA,0,0,0,118.7,202111070ram
Chester Rogers,RogeCh02,receiving,TEN,1,0,0,0,NA,0,NA,0,NA,2,0,NA,0,0,0,39.6,202111070ram
Cooper Kupp,KuppCo00,receiving,LAR,13,11,95,0,6,24,2.2,71,6.5,4.2,0,NA,1,7.7,0,97.1,202111070ram
Robert Woods,WoodRo02,receiving,LAR,10,7,98,0,5,59,8.4,39,5.6,5.8,0,NA,0,0,1,61.7,202111070ram
Tyler Higbee,HigbTy00,receiving,LAR,10,5,51,0,2,19,3.8,32,6.4,7.4,0,NA,0,0,0,65,202111070ram
Darrell Henderson,HendDa00,receiving,LAR,4,3,3,0,0,-12,-4,15,5,-2.8,0,NA,0,0,0,77.1,202111070ram
Van Jefferson,JeffVa00,receiving,LAR,7,3,41,0,2,24,8,17,5.7,10.6,0,NA,0,0,0,62.2,202111070ram
Sony Michel,MichSo00,receiving,LAR,3,2,6,1,1,2,1,4,2,-1,0,NA,0,0,0,109.7,202111070ram
