player_name,pfr_player_id,adv_stat_category,team,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct,pfr_game_id
Chris Westry,WestCh03,defense,BAL,0,10,5,50.0%,133,26.6,13.3,1,129.2,20.1,101,32,0,0,0,0,0,3,0,0.0%,202111210chi
Marlon Humphrey,HumpMa00,defense,BAL,0,7,3,42.9%,10,3.3,1.4,0,50.3,9.1,6,4,0,0,0,0,0,5,0,0.0%,202111210chi
Chuck Clark,ClarCh00,defense,BAL,0,8,3,37.5%,40,13.3,5,0,54.2,9.4,23,17,2,0,0,0,0,2,2,50.0%,202111210chi
Tavon Young,YounTa01,defense,BAL,0,3,3,100.0%,48,16,16,0,118.7,14.7,44,4,0,0,0,0,0,2,0,0.0%,202111210chi
Brandon Stephens,StepBr01,defense,BAL,0,3,2,66.7%,18,9,6,0,82.6,7.7,13,5,5,0,0,0,0,3,0,0.0%,202111210chi
Tyus Bowser,BowsTy00,defense,BAL,0,1,1,100.0%,60,60,60,1,158.3,-2,-2,62,6,0,0,2,2,5,0,0.0%,202111210chi
Geno Stone,StonGe00,defense,BAL,0,1,1,100.0%,22,22,22,0,118.7,19,19,3,2,0,0,0,0,1,0,0.0%,202111210chi
Josh Bynes,ByneJo00,defense,BAL,0,2,1,50.0%,10,10,5,0,64.6,9,10,0,1,0,0,0,0,0,1,100.0%,202111210chi
Patrick Queen,QueePa00,defense,BAL,0,2,1,50.0%,3,3,1.5,0,56.2,3,2,1,5,0,0,0,0,7,0,0.0%,202111210chi
Odafe Oweh,OwehJa00,defense,BAL,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,2,2,0,0.0%,202111210chi
Justin Houston,HousJu00,defense,BAL,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,2,3,0,0.0%,202111210chi
Justin Ellis,ElliJu01,defense,BAL,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,3,0,0.0%,202111210chi
Jaylon Ferguson,FergJa02,defense,BAL,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,NA,202111210chi
Broderick Washington Jr.,WashBr01,defense,BAL,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,NA,202111210chi
Chris Board,BoarCh00,defense,BAL,0,1,0,0.0%,NA,NA,0,NA,39.6,20,NA,NA,1,0,0,0,0,1,0,0.0%,202111210chi
Kindle Vildor,VildKi00,defense,CHI,0,10,6,60.0%,78,13,7.8,0,84.6,9.4,51,27,2,0,0,1,1,6,0,0.0%,202111210chi
Roquan Smith,SmitRo07,defense,CHI,0,4,4,100.0%,13,3.3,3.3,0,80.2,0.8,3,10,10,1,0,0,1,17,0,0.0%,202111210chi
Tashaun Gipson,GipsTa00,defense,CHI,1,6,4,66.7%,31,7.8,5.2,0,39.6,5.5,6,25,3,0,0,0,0,4,0,0.0%,202111210chi
DeAndre Houston-Carson,HousDe00,defense,CHI,0,7,4,57.1%,21,5.3,3,0,62.2,3.1,15,6,3,0,0,0,0,9,1,10.0%,202111210chi
Jaylon Johnson,JohnJa13,defense,CHI,0,5,4,80.0%,28,7,5.6,0,90,2.4,7,21,0,0,0,0,0,2,1,33.3%,202111210chi
Duke Shelley,ShelDu00,defense,CHI,0,2,2,100.0%,25,12.5,12.5,0,118.7,10,20,5,1,0,0,0,0,2,0,0.0%,202111210chi
Alec Ogletree,OgleAl00,defense,CHI,0,2,1,50.0%,-2,-2,-1,0,56.2,2.5,-3,1,5,0,1,0,1,7,0,0.0%,202111210chi
Deon Bush,BushDe00,defense,CHI,0,1,1,100.0%,29,29,29,0,118.7,27,27,2,0,0,0,0,0,2,1,33.3%,202111210chi
Christian Jones,JoneCh05,defense,CHI,0,1,1,100.0%,5,5,5,0,87.5,-2,-2,7,0,0,0,0,0,3,0,0.0%,202111210chi
Robert Quinn,QuinRo00,defense,CHI,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,3.5,5,5,0,0.0%,202111210chi
Trevis Gipson,GipsTr00,defense,CHI,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,1,3,5,0,0.0%,202111210chi
Cassius Marsh,MarsCa00,defense,CHI,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,1,0,1,1,0,0.0%,202111210chi
Eddie Goldman,GoldEd00,defense,CHI,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.5,1,5,0,0.0%,202111210chi
Mario Edwards,EdwaMa01,defense,CHI,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,100.0%,202111210chi
Marqui Christian,ChriMa00,defense,CHI,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,2,0,0.0%,202111210chi
