player_name,pfr_player_id,adv_stat_category,team,tgt,rec,receiving_yards,receiving_td,receiving_fd,receiving_yards_before_catch,receiving_yards_before_catch_avg,receiving_yards_after_catch,receiving_yards_after_catch_avg,adot,receiving_broken_tackles,receiving_per_broken_tackle,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,pfr_game_id
Mark Andrews,AndrMa00,receiving,BAL,10,8,73,0,5,46,5.8,27,3.4,6.1,0,NA,0,0,1,57.5,202111210chi
Devonta Freeman,FreeDe00,receiving,BAL,6,6,31,0,2,-1,-0.2,32,5.3,-0.2,1,6,0,0,0,88.2,202111210chi
Devin Duvernay,DuveDe00,receiving,BAL,6,4,37,0,1,22,5.5,15,3.8,6.3,0,NA,0,0,0,83.3,202111210chi
Rashod Bateman,BateRa00,receiving,BAL,6,3,29,0,2,9,3,20,6.7,7.3,0,NA,0,0,0,63.9,202111210chi
Sammy Watkins,WatkSa00,receiving,BAL,4,3,48,0,2,45,15,3,1,12.5,0,NA,0,0,0,114.6,202111210chi
Latavius Murray,MurrLa00,receiving,BAL,2,2,1,0,0,-1,-0.5,2,1,-0.5,0,NA,0,0,0,79.2,202111210chi
Nick Boyle,BoylNi00,receiving,BAL,1,0,0,0,NA,0,NA,0,NA,1,0,NA,1,100,0,39.6,202111210chi
Patrick Ricard,RicaPa00,receiving,BAL,1,0,0,0,0,0,NA,0,NA,-1,0,NA,0,0,0,39.6,202111210chi
Darnell Mooney,MoonDa00,receiving,CHI,16,5,121,1,4,51,10.2,70,14,13.7,1,5,1,6.3,0,80.5,202111210chi
Marquise Goodwin,GoodMa00,receiving,CHI,8,4,104,1,3,88,22,16,4,14.8,0,NA,0,0,0,135.4,202111210chi
Jimmy Graham,GrahJi00,receiving,CHI,3,2,25,0,1,3,1.5,22,11,1.7,0,NA,0,0,0,92.4,202111210chi
Damiere Byrd,ByrdDa00,receiving,CHI,2,1,3,0,NA,2,2,1,1,19.5,0,NA,0,0,0,56.2,202111210chi
Jakeem Grant,GranJa00,receiving,CHI,1,1,6,0,1,5,5,1,1,5,0,NA,0,0,0,91.7,202111210chi
Cole Kmet,KmetCo00,receiving,CHI,2,1,12,0,1,8,8,4,4,9,0,NA,0,0,0,68.7,202111210chi
David Montgomery,MontDa01,receiving,CHI,1,1,9,0,0,0,0,9,9,0,0,NA,0,0,0,104.2,202111210chi
