player_name,pfr_player_id,adv_stat_category,team,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct,pfr_game_id
Kwon Alexander,AlexKw00,defense,NOR,0,4,4,100.0%,30,7.5,7.5,0,97.9,1.5,6,24,1,0,0,0,0,7,1,12.5%,202111210phi
Marshon Lattimore,LattMa01,defense,NOR,0,3,3,100.0%,53,17.7,17.7,0,118.7,7,21,32,0,0,0,0,0,4,0,0.0%,202111210phi
Malcolm Jenkins,JenkMa99,defense,NOR,0,4,2,50.0%,30,15,7.5,0,75,10.5,15,15,1,0,0,0,0,4,1,20.0%,202111210phi
Bradley Roby,RobyBr00,defense,NOR,0,1,1,100.0%,-1,-1,-1,0,79.2,-1,-1,0,2,0,1,0,1,2,0,0.0%,202111210phi
Paulson Adebo,AdebPa00,defense,NOR,0,4,1,25.0%,4,4,1,0,39.6,9.5,1,3,0,0,0,0,0,5,0,0.0%,202111210phi
Demario Davis,DaviDe00,defense,NOR,0,3,1,33.3%,23,23,7.7,0,61.8,10.3,5,18,0,0,0,0,0,1,0,0.0%,202111210phi
P.J. Williams,WillP.00,defense,NOR,0,2,1,50.0%,8,8,4,0,60.4,6,7,1,2,0,0,0,0,3,1,25.0%,202111210phi
Marcus Davenport,DaveMa00,defense,NOR,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,1.5,4,10,0,0.0%,202111210phi
Cameron Jordan,JordCa00,defense,NOR,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,2,3,0,0.0%,202111210phi
Shy Tuttle,TuttSh00,defense,NOR,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,5,2,28.6%,202111210phi
David Onyemata,OnyeDa00,defense,NOR,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.5,1,4,0,0.0%,202111210phi
Carl Granderson,GranCa01,defense,NOR,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,2,1,33.3%,202111210phi
Christian Ringo,RingCh00,defense,NOR,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,5,1,16.7%,202111210phi
Marcus Williams,WillMa06,defense,NOR,0,3,0,0.0%,NA,NA,0,NA,39.6,21.7,NA,NA,0,0,0,0,0,7,1,12.5%,202111210phi
T.J. Edwards,EdwaTJ02,defense,PHI,1,7,5,71.4%,41,8.2,5.9,1,86,3.7,24,17,1,0,0,0,0,10,0,0.0%,202111210phi
Alex Singleton,SingAl00,defense,PHI,0,6,4,66.7%,31,7.8,5.2,0,79.2,0,-10,41,3,0,1,0,1,6,2,25.0%,202111210phi
Steven Nelson,NelsSt01,defense,PHI,0,5,4,80.0%,37,9.3,7.4,1,137.1,9.6,31,6,0,0,0,0,0,3,0,0.0%,202111210phi
Avonte Maddox,MaddAv00,defense,PHI,0,6,3,50.0%,41,13.7,6.8,1,111.8,7,39,2,1,0,1,0,1,2,0,0.0%,202111210phi
Rodney McLeod,McLeRo00,defense,PHI,0,3,3,100.0%,44,14.7,14.7,0,118.7,13.3,40,4,1,0,0,0,0,6,1,14.3%,202111210phi
Anthony Harris,HarrAn01,defense,PHI,0,6,2,33.3%,11,5.5,1.8,0,42.4,11.7,11,0,1,0,0,0,0,6,0,0.0%,202111210phi
Darius Slay,SlayDa00,defense,PHI,1,4,1,25.0%,9,9,2.3,0,0,11.8,9,0,0,0,0,0,0,1,0,0.0%,202111210phi
Zech McPhearson,McPhZe00,defense,PHI,0,2,1,50.0%,17,17,8.5,0,79.2,22,18,-1,0,0,0,0,0,4,0,0.0%,202111210phi
Fletcher Cox,CoxxFl00,defense,PHI,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,3,2,0,0.0%,202111210phi
Derek Barnett,BarnDe01,defense,PHI,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,2,1,0,0.0%,202111210phi
Tarron Jackson,JackTa02,defense,PHI,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,2,0,0,NA,202111210phi
Javon Hargrave,HargJa00,defense,PHI,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,2,1,33.3%,202111210phi
Josh Sweat,SweaJo00,defense,PHI,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,2,0,0.0%,202111210phi
Milton Williams,WillMi08,defense,PHI,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,0,0.0%,202111210phi
Marcus Epps,EppsMa00,defense,PHI,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0.0%,202111210phi
