player_name,pfr_player_id,adv_stat_category,team,tgt,rec,receiving_yards,receiving_td,receiving_fd,receiving_yards_before_catch,receiving_yards_before_catch_avg,receiving_yards_after_catch,receiving_yards_after_catch_avg,adot,receiving_broken_tackles,receiving_per_broken_tackle,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,pfr_game_id
Russell Gage,GageRu00,receiving,ATL,7,6,62,1,5,28,4.7,34,5.7,4,1,6,0,0,0,143.2,202111280jax
Mike Davis,DaviMi01,receiving,ATL,4,3,25,0,1,-4,-1.3,29,9.7,0.3,0,NA,0,0,0,90.6,202111280jax
Keith Smith,SmitKe03,receiving,ATL,2,2,16,0,1,2,1,14,7,1,1,2,0,0,0,100,202111280jax
Tajae Sharpe,SharTa00,receiving,ATL,3,2,22,0,1,19,9.5,3,1.5,9,0,NA,0,0,0,88.2,202111280jax
Cordarrelle Patterson,PattCo00,receiving,ATL,3,2,27,0,2,5,2.5,22,11,3,1,2,0,0,0,95.1,202111280jax
Kyle Pitts,PittKy00,receiving,ATL,6,2,26,0,2,14,7,12,6,7.2,0,NA,1,16.7,1,8.3,202111280jax
Olamide Zaccheaus,ZaccOl01,receiving,ATL,2,1,5,0,NA,-2,-2,7,7,-0.5,0,NA,0,0,0,56.2,202111280jax
Parker Hesse,HessPa00,receiving,ATL,1,1,7,0,NA,4,4,3,3,4,0,NA,0,0,0,95.8,202111280jax
Laviska Shenault Jr.,ShenLa00,receiving,JAX,9,5,33,0,2,0,0,33,6.6,7.7,0,NA,0,0,0,63.7,202111280jax
Laquon Treadwell,TreaLa00,receiving,JAX,8,4,53,0,3,25,6.3,28,7,13.5,1,4,0,0,0,71.4,202111280jax
Marvin Jones,JoneMa02,receiving,JAX,7,4,43,0,3,43,10.8,0,0,14.3,0,NA,0,0,1,35.7,202111280jax
James O'Shaughnessy,O'ShJa00,receiving,JAX,5,3,29,0,1,19,6.3,10,3.3,8.6,0,NA,0,0,0,76.2,202111280jax
James Robinson,RobiJa00,receiving,JAX,4,3,29,0,1,3,1,26,8.7,2.3,1,3,0,0,0,94.8,202111280jax
Tavon Austin,AustTa00,receiving,JAX,2,2,21,1,2,21,10.5,0,0,10.5,0,NA,0,0,0,150,202111280jax
Dan Arnold,ArnoDa00,receiving,JAX,1,1,9,0,NA,4,4,5,5,4,0,NA,0,0,0,104.2,202111280jax
Chris Manhertz,ManhCh00,receiving,JAX,2,1,11,0,1,6,6,5,5,7.5,0,NA,0,0,0,66.7,202111280jax
Dare Ogunbowale,OgunDa00,receiving,JAX,1,0,0,0,NA,0,NA,0,NA,7,0,NA,1,100,0,39.6,202111280jax
Carlos Hyde,HydeCa00,receiving,JAX,1,0,0,0,0,0,NA,0,NA,0,0,NA,1,100,0,39.6,202111280jax
John Brown,BrowJo02,receiving,JAX,1,0,0,0,NA,0,NA,0,NA,30,0,NA,0,0,0,39.6,202111280jax
