player_name,pfr_player_id,adv_stat_category,team,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct,pfr_game_id
Devin White,WhitDe02,defense,TAM,0,6,6,100.0%,61,10.2,10.2,0,109,4.5,27,34,8,1,1,0,2,10,0,0.0%,202112050atl
Sean Murphy-Bunting,BuntSe00,defense,TAM,0,6,5,83.3%,47,9.4,7.8,0,99.3,2.3,9,38,3,0,0,0,0,6,0,0.0%,202112050atl
Antoine Winfield Jr.,WinfAn00,defense,TAM,0,5,4,80.0%,33,8.3,6.6,0,94.2,6.4,23,10,1,0,0,0,0,10,3,23.1%,202112050atl
Pierre Desir,DesiPi00,defense,TAM,0,4,4,100.0%,47,11.8,11.8,0,115.6,9,36,11,0,0,0,0,0,4,0,0.0%,202112050atl
Carlton Davis,DaviCa02,defense,TAM,0,9,4,44.4%,70,17.5,7.8,0,71.5,13.8,50,20,0,0,0,0,0,3,2,40.0%,202112050atl
Lavonte David,DaviLa00,defense,TAM,0,4,4,100.0%,28,7,7,0,95.8,1.3,5,23,1,0,0,0,0,6,2,25.0%,202112050atl
Shaquil Barrett,BarrSh00,defense,TAM,0,1,1,100.0%,2,2,2,0,79.2,2,2,0,6,0,1,0,1,3,1,25.0%,202112050atl
Andrew Adams,AdamAn00,defense,TAM,0,2,1,50.0%,6,6,3,0,56.2,4,1,5,3,0,0,0,0,7,1,12.5%,202112050atl
Ross Cockrell,CockRo00,defense,TAM,0,1,1,100.0%,10,10,10,0,108.3,6,6,4,1,0,0,0,0,3,0,0.0%,202112050atl
Jamel Dean,DeanJa00,defense,TAM,0,3,1,33.3%,0,0,0,0,42.4,0.7,-2,2,0,0,0,0,0,1,1,50.0%,202112050atl
Vita Vea,VeaxVi00,defense,TAM,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,2,3,2,0,0.0%,202112050atl
William Gholston,GholWi00,defense,TAM,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,2,5,0,0.0%,202112050atl
Ndamukong Suh,SuhxNd99,defense,TAM,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,2,4,0,0.0%,202112050atl
Anthony Nelson,NelsAn01,defense,TAM,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,NA,202112050atl
Cam Gill,GillCa00,defense,TAM,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,2,0,0.0%,202112050atl
