player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Josh Jacobs,JacoJo01,rushing,LVR,9,24,0,20,2.2,4,0.4,0,NA,202112120kan
Peyton Barber,BarbPe01,rushing,LVR,1,7,0,6,6,1,1,0,NA,202112120kan
Dallin Leavitt,LeavDa00,rushing,LVR,1,4,1,4,4,0,0,0,NA,202112120kan
Trey Ragas,RagaTr00,rushing,LVR,1,9,1,7,7,2,2,0,NA,202112120kan
Clyde Edwards-Helaire,EdwaCl00,rushing,KAN,10,37,2,23,2.3,14,1.4,2,5,202112120kan
Derrick Gore,GoreDe00,rushing,KAN,9,66,2,13,1.4,53,5.9,2,4.5,202112120kan
Patrick Mahomes,MahoPa00,rushing,KAN,4,20,1,20,5,0,0,0,NA,202112120kan
Chad Henne,HennCh01,rushing,KAN,3,-2,NA,-2,-0.7,0,0,0,NA,202112120kan
Darrel Williams,WillDa10,rushing,KAN,2,8,0,8,4,0,0,0,NA,202112120kan
Michael Burton,BurtMi00,rushing,KAN,1,3,1,0,0,3,3,0,NA,202112120kan
Mecole Hardman,HardMe00,rushing,KAN,1,0,0,0,0,0,0,0,NA,202112120kan
