player_name,pfr_player_id,adv_stat_category,team,tgt,rec,receiving_yards,receiving_td,receiving_fd,receiving_yards_before_catch,receiving_yards_before_catch_avg,receiving_yards_after_catch,receiving_yards_after_catch_avg,adot,receiving_broken_tackles,receiving_per_broken_tackle,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,pfr_game_id
CeeDee Lamb,LambCe00,receiving,DAL,10,7,61,0,4,22,3.1,39,5.6,6,0,NA,1,10,1,46.2,202112120was
Michael Gallup,GallMi00,receiving,DAL,9,5,60,0,3,43,8.6,17,3.4,8.1,0,NA,2,22.2,0,76.2,202112120was
Amari Cooper,CoopAm00,receiving,DAL,7,5,51,1,3,26,5.2,25,5,6.1,0,NA,0,0,0,131.5,202112120was
Cedrick Wilson Jr.,WilsCe01,receiving,DAL,2,2,18,0,NA,9,4.5,9,4.5,4.5,0,NA,0,0,0,104.2,202112120was
Corey Clement,ClemCo00,receiving,DAL,2,1,2,0,0,1,1,1,1,0.5,0,NA,1,50,0,56.2,202112120was
Ezekiel Elliott,ElliEz00,receiving,DAL,6,1,15,0,1,2,2,13,13,5.3,0,NA,1,16.7,0,39.6,202112120was
Dalton Schultz,SchuDa00,receiving,DAL,3,1,4,0,NA,4,4,0,0,5,0,NA,0,0,1,2.8,202112120was
Adam Humphries,HumpAd00,receiving,WAS,7,4,34,0,2,31,7.8,3,0.8,6.9,0,NA,1,14.3,0,69.9,202112120was
Cam Sims,SimsCa00,receiving,WAS,4,3,69,1,2,66,22,3,1,21.5,1,3,0,0,0,156.2,202112120was
DeAndre Carter,CartDe02,receiving,WAS,5,2,12,0,NA,2,1,10,5,9.8,0,NA,1,20,1,8.3,202112120was
Antonio Gibson,GibsAn00,receiving,WAS,2,2,5,0,0,-4,-2,9,4.5,-2,0,NA,0,0,0,79.2,202112120was
Jaret Patterson,PattJa01,receiving,WAS,1,1,9,0,1,-2,-2,11,11,-2,0,NA,0,0,0,104.2,202112120was
Ricky Seals-Jones,SealRi00,receiving,WAS,4,1,8,0,NA,2,2,6,6,4.3,0,NA,1,25,0,39.6,202112120was
Jonathan Williams,WillJo07,receiving,WAS,1,1,19,0,1,2,2,17,17,2,0,NA,0,0,0,118.7,202112120was
John Bates,BateJo00,receiving,WAS,2,1,19,0,1,-5,-5,24,24,0,0,NA,0,0,0,83.3,202112120was
Dyami Brown,BrowDy00,receiving,WAS,1,0,0,0,NA,0,NA,0,NA,34,0,NA,0,0,0,39.6,202112120was
Terry McLaurin,McLaTe00,receiving,WAS,4,0,0,0,NA,0,NA,0,NA,25,0,NA,1,25,0,39.6,202112120was
Curtis Samuel,SamuCu00,receiving,WAS,2,0,0,0,NA,0,NA,0,NA,10,0,NA,0,0,0,39.6,202112120was
