player_name,pfr_player_id,adv_stat_category,team,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct,pfr_game_id
Garret Wallow,WallGa00,defense,HOU,0,6,5,83.3%,53,10.6,8.8,0,103.5,6.3,35,18,2,0,0,1,1,11,0,0.0%,202112190jax
Tavierre Thomas,ThomTa01,defense,HOU,0,6,5,83.3%,51,10.2,8.5,0,102.1,5.2,27,24,3,0,0,0,0,11,0,0.0%,202112190jax
Neville Hewitt,HewiNe00,defense,HOU,0,5,3,60.0%,25,8.3,5,0,72.9,3.4,17,8,1,0,0,0,0,10,0,0.0%,202112190jax
Jonathan Owens,OwenJo01,defense,HOU,0,2,2,100.0%,23,11.5,11.5,0,114.6,7.5,15,8,0,0,0,0,0,8,1,11.1%,202112190jax
Lonnie Johnson Jr.,JohnLo01,defense,HOU,0,4,2,50.0%,13,6.5,3.3,0,57.3,11.5,1,12,0,0,0,0,0,3,3,50.0%,202112190jax
Eric Murray,MurrEr00,defense,HOU,0,3,2,66.7%,18,9,6,0,82.6,8.3,5,13,0,0,0,0,0,8,0,0.0%,202112190jax
Desmond King,KingDe01,defense,HOU,0,9,2,22.2%,20,10,2.2,0,39.6,6.4,5,15,0,0,0,0,0,3,1,25.0%,202112190jax
Tremon Smith,SmitTr04,defense,HOU,0,1,1,100.0%,7,7,7,0,95.8,7,7,0,0,1,0,0,1,2,0,0.0%,202112190jax
Chris Smith,SmitCh03,defense,HOU,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3,5,1,16.7%,202112190jax
Derek Rivers,RiveDe00,defense,HOU,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,3,0,0.0%,202112190jax
Tyson Campbell,CampTy01,defense,JAX,1,9,6,66.7%,77,12.8,8.6,1,90.7,10.2,28,49,0,0,0,0,0,4,0,0.0%,202112190jax
Rudy Ford,FordRu00,defense,JAX,0,6,6,100.0%,39,6.5,6.5,0,93.7,2.3,14,25,5,0,0,0,0,3,0,0.0%,202112190jax
Shaquill Griffin,GrifSh00,defense,JAX,0,4,4,100.0%,73,18.3,18.3,1,158.3,11.5,46,27,0,0,0,0,0,5,1,16.7%,202112190jax
Myles Jack,JackMy00,defense,JAX,0,4,2,50.0%,8,4,2,0,56.2,2.8,5,3,6,0,0,0,0,6,0,0.0%,202112190jax
Andre Cisco,CiscAn00,defense,JAX,0,1,1,100.0%,6,6,6,0,91.7,2,2,4,0,0,0,0,0,1,0,0.0%,202112190jax
Daniel Thomas,ThomDa07,defense,JAX,0,2,1,50.0%,6,6,3,0,56.2,6.5,6,0,1,0,0,0,0,3,0,0.0%,202112190jax
Damien Wilson,WilsDa02,defense,JAX,0,2,0,0.0%,NA,NA,0,NA,39.6,13.5,NA,NA,4,1,1,0,2,4,0,0.0%,202112190jax
Taven Bryan,BryaTa00,defense,JAX,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,NA,202112190jax
Malcom Brown,BrowMa01,defense,JAX,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,4,0,0.0%,202112190jax
Dawuane Smoot,SmooDa00,defense,JAX,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,5,0,0.0%,202112190jax
Josh Allen,AlleJo03,defense,JAX,0,1,0,0.0%,NA,NA,0,NA,39.6,6,NA,NA,0,0,0,0,0,2,0,0.0%,202112190jax
Andrew Wingard,WingAn01,defense,JAX,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,9,0,0.0%,202112190jax
Lerentee McCray,McCrLe01,defense,JAX,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2,1,33.3%,202112190jax
K'Lavon Chaisson,ChaiKL00,defense,JAX,0,1,0,0.0%,NA,NA,0,NA,39.6,0,NA,NA,0,0,0,0,0,2,0,0.0%,202112190jax
